Sample,Location,Country_Min,Formation,N,mean_pct_carb,d13C_VPDB,d18O_VPDB_mineral,d18Ow_VSMOW,d18Ow_VSMOW_1SE_lower,d18Ow_VSMOW_1SE_upper,d18Ow_VSMOW_2SE_lower,d18Ow_VSMOW_2SE_upper,d18Ow_VSMOW_lower,d18Ow_VSMOW_upper,D47,SE,SE_2,SD,CL_95_pct,T_MIT,T_MIT_SE_lower,T_MIT_SE_upper,T_MIT_2SE_lower,T_MIT_2SE_upper,T_MIT_95CL_lower,T_MIT_95CL_upper,D48,D48_SE,D48_SD,D48_95_CL,Mineralogy,Type,Form_T,err_Form_T,Calibration,Author,ordering_ratio,Mg,alt_Sample,Counter,Location,Country_Min,Formation,T_Petersen,d47_VPDB,d18Ow_VSMOW_MK77,d18Ow_VSMOW_MK77_upper,d18Ow_VSMOW_MK77_lower,d18Ow_VSMOW_H14,d18Ow_VSMOW_H14_upper,d18Ow_VSMOW_H14_lower,d18Ow_VSMOW_H14_lower,d18Ow_VSMOW_V05,d18Ow_VSMOW_V05_upper,d18Ow_VSMOW_V05_lower,d18Ow_VSMOW_KON97,d18Ow_VSMOW_KON97_upper,d18Ow_VSMOW_KON97_lower,d18Ow_VSMOW_A21,d18Ow_VSMOW_A21,d18Ow_VSMOW_A21_upper,d18Ow_VSMOW_A21_lower
MDE_71_A,Oman,Oman_DL,CementBurial,3,100.8,4.35,-8.009409889,3.6,1.5,1.4,2.9,2.9,2.9,2.8,0.4278,0.0179,0.0358,0.0302,0.0352,104.7,11.8,13,22.5,27.4,22.2,26.9,0.2307,0.048,0.0333,0.0946,Dolomite,,,,,,,,,,Oman,Oman_DL,CementBurial,112.3,-3.659409889,4.2,2.8,2.7,3.6,2.8,2.9,2.9,3.6,2.4,2.5,7.1,3.2,3,5.2,5.2,3.1,2.9
MDE_71_B,Oman,Oman_DL,CementBurial,3,98,3.44,-7.912409151,-0.3,1.4,1.4,2.9,2.8,2.8,2.8,0.4773,0.0177,0.0354,0.0347,0.0348,74.6,9.1,9.9,17.6,20.8,17.3,20.4,0.4215,0.0716,0.2282,0.1413,Dolomite,,,,,,,,,,Oman,Oman_DL,CementBurial,79.9,-4.472409151,0.4,2.8,2.7,-0.3,2.8,2.8,2.8,0.2,2.4,2.4,3.1,2.9,2.7,1.3,1.3,2.8,2.6
MDE_78_A,Oman,Oman_DL,CementBurial,3,92.9,0.52,-7.728107751,0.4,1.4,1.4,2.8,2.8,2.7,2.8,0.4703,0.0174,0.0348,0.0056,0.0342,78.4,9.3,10.1,17.9,21.1,17.6,20.7,0.2308,0.048,0.0306,0.0948,Dolomite,,,,,,,,,,Oman,Oman_DL,CementBurial,84,-7.208107751,1.2,2.7,2.7,0.4,2.8,2.7,2.7,0.9,2.4,2.4,3.8,2.9,2.7,2,2,2.8,2.6
MDE_78_B,Oman,Oman_DL,CementBurial,3,90.2,4.03,-8.174311142,1.6,1.4,1.4,2.9,2.9,2.8,2.8,0.45,0.0178,0.0356,0.0162,0.0349,90.3,10.5,11.4,20.1,24,19.7,23.5,0.2391,0.0481,0.0943,0.0949,Dolomite,,,,,,,,,,Oman,Oman_DL,CementBurial,96.7,-4.144311142,2.3,2.8,2.7,1.6,2.8,2.8,2.8,1.8,2.5,2.4,5.1,3,2.9,3.2,3.2,2.9,2.8
KDW2_101.9_A_A,Oman,Oman_DL,Khufai,4,89.4,1.33,-3.663776862,0.4,1.3,1.2,2.5,2.5,2.5,2.4,0.5218,0.0155,0.031,0.0289,0.0304,52.9,6.7,7.1,12.9,14.7,12.7,14.4,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,Khufai,56.8,-2.333776862,1.2,2.4,2.3,0.4,2.4,2.5,2.5,1.4,2.1,2.2,3.9,2.4,2.2,2.2,2.2,2.3,2.2
KDW2_104.8_B_A,Oman,Oman_DL,Khufai,1,83.8,1.78,-2.422167425,1.5,2.4,2.3,4.8,4.7,4.7,4.7,0.5239,0.0296,0.0592,,0.0582,52,12.3,13.8,23.3,29.6,22.9,29.1,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,Khufai,55.8,-0.642167425,2.3,4.6,4.5,1.5,4.7,4.7,4.7,2.5,4.1,4.1,5,4.6,4.2,3.3,3.3,4.5,4.1
KDW2_107.3_A_A,Oman,Oman_DL,Khufai,1,96.3,2.55,-2.577368605,0.7,2.4,2.4,4.7,4.8,4.6,4.7,0.5311,0.0297,0.0594,,0.0583,48.9,12,13.5,22.7,28.8,22.3,28.2,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,Khufai,52.5,-0.027368605,1.6,4.6,4.6,0.7,4.7,4.6,4.6,1.8,4.1,4.1,4.3,4.5,4.2,2.6,2.6,4.4,4
KDW2_119.1_A_A,Oman,Oman_DL,Khufai,7,81.8,1.02,-3.382474724,-0.7,1,1,1.9,1.9,1.9,1.9,0.5389,0.012,0.024,0.0506,0.0236,45.6,4.9,5.1,9.5,10.4,9.3,10.2,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,Khufai,49.1,-2.362474724,0.2,1.8,1.9,-0.7,1.9,1.9,1.9,0.4,1.7,1.6,2.9,1.8,1.7,1.3,1.3,1.7,1.7
KDW2_26.5_A,Oman,Oman_DL,Khufai,1,98.8,3.85,-4.313681801,3.4,2.4,2.4,4.8,4.8,4.7,4.7,0.4764,0.0296,0.0592,,0.0582,75.1,15,17.2,28.2,37.2,27.7,36.5,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,Khufai,80.4,-0.463681801,4.1,4.6,4.5,3.4,4.7,4.7,4.7,3.9,4.1,4.1,6.8,5,4.5,5,5,4.8,4.4
KDW2_34.5_A,Oman,Oman_DL,Khufai,1,99.5,3.97,-3.935378926,0.9,2.4,2.4,4.8,4.8,4.7,4.7,0.5121,0.0297,0.0594,,0.0583,57.3,12.9,14.6,24.4,31.4,24,30.7,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,Khufai,61.4,0.034621074,1.7,4.6,4.5,0.9,4.7,4.7,4.7,1.8,4.1,4.1,4.4,4.6,4.3,2.7,2.7,4.5,4.2
KDW2_51.0_A,Oman,Oman_DL,Khufai,5,94.7,2.93,-2.46096772,0.3,1.1,1.1,2.2,2.2,2.2,2.2,0.538,0.0138,0.0276,0.0229,0.0271,45.9,5.6,5.9,10.9,12.1,10.7,11.9,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,Khufai,49.5,0.46903228,1.2,2.1,2.1,0.3,2.2,2.2,2.2,1.4,1.9,1.9,3.9,2.1,2,2.2,2.2,2,1.9
KDW2_55.7_A,Oman,Oman_DL,Khufai,1,104.9,2.91,-3.595876346,0.1,2.4,2.4,4.8,4.8,4.7,4.7,0.5263,0.0296,0.0592,,0.0582,50.9,12.2,13.7,23.1,29.3,22.7,28.7,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,Khufai,54.7,-0.685876346,1,4.5,4.6,0.1,4.7,4.7,4.7,1.1,4.1,4,3.6,4.6,4.2,2,2,4.4,4.1
KDW2_59.0,Oman,Oman_DL,Khufai,5,97.9,3.47,-3.692877083,1.3,1.3,1.2,2.5,2.4,2.4,2.4,0.5106,0.0152,0.0304,0.0487,0.0298,58,6.8,7.3,13.3,15.1,13,14.8,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,Khufai,62.2,-0.222877083,2.1,2.3,2.3,1.3,2.4,2.4,2.4,2.1,2.1,2.1,4.7,2.4,2.2,3,3,2.3,2.2
KDW2_63.0_A,Oman,Oman_DL,Khufai,1,67.1,2.72,-3.421275019,0.5,2.4,2.3,4.8,4.7,4.7,4.7,0.5239,0.0296,0.0592,,0.0582,52,12.3,13.8,23.3,29.6,22.9,29.1,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,Khufai,55.8,-0.701275019,1.3,4.6,4.5,0.5,4.7,4.7,4.7,1.5,4,4.1,4,4.6,4.2,2.3,2.3,4.4,4.1
KDW2_64.8,Oman,Oman_DL,Khufai,6,66.1,2.35,-1.820762855,-0.5,1.2,1.2,2.3,2.4,2.3,2.4,0.5554,0.0148,0.0296,0.0439,0.0292,39,5.6,5.9,10.9,12.2,10.8,12,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,Khufai,42.1,0.529237145,0.5,2.2,2.3,-0.5,2.4,2.3,2.3,0.9,2,2.1,3.3,2.1,2.1,1.7,1.7,2,2.1
KDW2_66.5_A,Oman,Oman_DL,Khufai,1,96.1,1.79,-3.818978041,1,2.4,2.4,4.8,4.7,4.7,4.7,0.5125,0.0295,0.059,,0.058,57.1,12.8,14.5,24.2,31.1,23.9,30.5,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,Khufai,61.3,-2.028978041,1.8,4.6,4.5,1,4.7,4.7,4.7,1.9,4,4.1,4.5,4.6,4.3,2.7,2.7,4.5,4.1
KDW2_67.5_A,Oman,Oman_DL,Khufai,1,101.7,3.35,-3.188473249,0.7,2.3,2.4,4.7,4.8,4.6,4.7,0.5233,0.0297,0.0594,,0.0583,52.2,12.3,13.9,23.4,29.8,23,29.2,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,Khufai,56.1,0.161526751,1.6,4.6,4.6,0.7,4.7,4.6,4.6,1.7,4.1,4,4.3,4.6,4.2,2.6,2.6,4.4,4.1
KDW2_69.9_A,Oman,Oman_DL,Khufai,1,104.6,3.33,-5.244888878,1.2,2.3,2.4,4.7,4.8,4.6,4.7,0.4915,0.0295,0.059,,0.058,67.2,14,15.9,26.3,34.3,25.9,33.7,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,Khufai,72,-1.914888878,2,4.6,4.5,1.2,4.7,4.6,4.6,1.9,4.1,4.1,4.7,4.8,4.4,2.9,2.9,4.6,4.3
KDW2_70.9_A,Oman,Oman_DL,Khufai,1,100,3.62,-3.886878557,-0.3,2.4,2.3,4.8,4.7,4.7,4.6,0.5281,0.0297,0.0594,,0.0583,50.1,12.1,13.7,23,29.2,22.6,28.6,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,Khufai,53.9,-0.266878557,0.5,4.6,4.5,-0.3,4.6,4.7,4.7,0.7,4.1,4.1,3.2,4.6,4.2,1.5,1.5,4.4,4
KDW2_80.4_A,Oman,Oman_DL,Khufai,1,105.6,2.16,-2.829570522,2.5,2.3,2.4,4.7,4.8,4.6,4.7,0.5054,0.0296,0.0592,,0.0582,60.4,13.2,15,25,32.2,24.6,31.6,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,Khufai,64.8,-0.669570522,3.4,4.5,4.6,2.5,4.7,4.6,4.6,3.3,4.1,4,6,4.7,4.3,4.3,4.3,4.5,4.2
KDW2_95.1_A,Oman,Oman_DL,Khufai,1,82.6,1.9,-3.654076788,1.3,2.4,2.3,4.8,4.7,4.7,4.6,0.5109,0.0295,0.059,,0.058,57.8,12.9,14.6,24.4,31.3,24,30.7,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,Khufai,62,-1.754076788,2.1,4.6,4.5,1.3,4.6,4.7,4.7,2.1,4.1,4,4.7,4.7,4.2,3,3,4.5,4.1
RM_4_A,Oman,Oman_CA,Miocene,2,97,-9.05,-8.208480561,-4.9,1.4,1.4,2.8,2.9,2.7,2.9,0.5574,0.0205,0.041,0.0215,0.0403,38.2,7.6,8.2,14.7,17.1,14.5,16.8,,,,,Calcite,,,,,,,,,,Oman,Oman_CA,Miocene,41.3,-17.25848056,-6.1,3.1,3.1,-7,3.2,3.2,3.2,-5.7,2.8,2.8,-3.3,3,2.8,-4.9,-4.9,2.9,2.7
RM_4_B,Oman,Oman_CA,Miocene,2,73.4,-6.61,-9.314288965,-7.1,1.4,1.4,2.7,2.9,2.7,2.8,0.5735,0.0206,0.0412,0.007,0.0404,32.1,7.2,7.8,14,16.2,13.7,15.9,,,,,Calcite,,,,,,,,,,Oman,Oman_CA,Miocene,34.9,-15.92428897,-8.5,3.2,3.1,-9.4,3.2,3.2,3.2,-7.9,2.8,2.8,-5.5,2.9,2.8,-7.1,-7.1,2.8,2.7
RM_4_C,Oman,Oman_CA,Miocene,2,88.4,-6.09,-8.169680266,-6.4,1.3,1.4,2.7,2.9,2.6,2.8,0.5796,0.0206,0.0412,0.0124,0.0405,30,7.1,7.6,13.7,15.8,13.5,15.5,,,,,Calcite,,,,,,,,,,Oman,Oman_CA,Miocene,32.6,-14.25968027,-7.8,3.2,3.1,-8.8,3.3,3.2,3.2,-7.2,2.8,2.8,-4.8,2.9,2.8,-6.4,-6.4,2.8,2.6
MD6_S,Oman,Oman_CA,Shuram,3,50.3,-12.84,-8.499482773,-1.9,1.3,1.3,2.5,2.6,2.5,2.6,0.5115,0.0173,0.0346,0.0092,0.034,57.6,7.7,8.3,14.9,17.3,14.7,16.9,0.3483,0.0821,0.0943,0.162,Calcite,,,,,,,,,,Oman,Oman_CA,Shuram,61.7,-21.33948277,-2.8,2.6,2.7,-3.6,2.7,2.8,2.8,-2.8,2.4,2.3,-0.2,2.7,2.5,-1.9,-1.9,2.6,2.5
MDE2_176,Oman,Oman_CA,Shuram,3,92.2,-9.85,-8.266681003,1,1.3,1.4,2.6,2.8,2.6,2.8,0.4762,0.0175,0.035,0.0063,0.0345,75.2,9.1,9.9,17.5,20.6,17.3,20.3,0.2074,0.0727,0.0696,0.1433,Calcite,,,,,,,,,,Oman,Oman_CA,Shuram,80.5,-18.116681,0.2,2.7,2.7,-0.6,2.8,2.8,2.8,-0.1,2.4,2.4,2.8,2.9,2.7,1,1,2.8,2.6
MDE2_86.9,Oman,Oman_CA,Shuram,3,87.9,-12.37,-7.713776801,-0.2,1.3,1.4,2.6,2.8,2.5,2.7,0.4991,0.0177,0.0354,0.0144,0.0348,63.5,8.3,9,16,18.7,15.8,18.4,0.1891,0.0733,0.1383,0.1446,Calcite,,,,,,,,,,Oman,Oman_CA,Shuram,68,-20.0837768,-1.1,2.8,2.7,-1.9,2.8,2.8,2.8,-1.1,2.4,2.5,1.6,2.7,2.7,-0.2,-0.2,2.7,2.5
MDS_200,Oman,Oman_CA,Shuram,3,82.7,-7.92,-7.597375917,0.5,1.3,1.3,2.6,2.6,2.5,2.6,0.4921,0.0171,0.0342,0.0068,0.0336,66.9,8.3,8.9,16,18.6,15.7,18.3,0.1806,0.0733,0.0933,0.1447,Calcite,,,,,,,,,,Oman,Oman_CA,Shuram,71.7,-15.51737592,-0.4,2.6,2.6,-1.2,2.7,2.7,2.7,-0.5,2.3,2.4,2.2,2.7,2.5,0.5,0.5,2.6,2.5
MDS_211.5,Oman,Oman_CA,Shuram,4,94.9,-7.65,-7.820477612,0.5,1.1,1.2,2.3,2.3,2.2,2.3,0.4887,0.015,0.03,0.0251,0.0295,68.6,7.4,7.9,14.4,16.4,14.1,16.1,0.1924,0.0631,0.0596,0.1246,Calcite,,,,,,,,,,Oman,Oman_CA,Shuram,73.5,-15.47047761,-0.4,2.4,2.3,-1.1,2.3,2.4,2.4,-0.5,2,2.1,2.3,2.4,2.3,0.5,0.5,2.3,2.2
MDS_220.5,Oman,Oman_CA,Shuram,6,88.4,-5.86,-7.219073041,6.1,1,1.1,2,2.2,2,2.1,0.4265,0.0122,0.0244,0.0555,0.024,105.6,8.2,8.8,15.9,18.2,15.7,17.9,0.1845,0.0523,0.1777,0.1031,Calcite,,,,,,,,,,Oman,Oman_CA,Shuram,113.3,-13.07907304,5.1,1.9,1.9,4.5,1.9,2,2,4.5,1.6,1.7,8.1,2.1,2.1,6.1,6.1,2.1,2
MDS_5.0,Oman,Oman_CA,Shuram,6,93.3,-9.84,-8.51888292,5.1,1,1.1,2.1,2.2,2,2.1,0.4232,0.0123,0.0246,0.0232,0.0241,108,8.4,9,16.3,18.7,16,18.3,0.2338,0.052,0.0369,0.1026,Calcite,,,,,,,,,,Oman,Oman_CA,Shuram,115.8,-18.35888292,4.1,1.9,1.9,3.4,2,1.9,1.9,3.4,1.7,1.7,7,2.2,2.1,5.1,5.1,2.1,2
WS_2.1_A,Oman,Oman_CA,Shuram,3,82.8,-10.46,-8.344281593,6.1,1.5,1.5,2.9,3,2.9,3,0.4141,0.0171,0.0342,0.0277,0.0336,114.6,12.1,13.4,23.2,28.3,22.9,27.8,0.2974,0.0765,0.1036,0.1509,Calcite,,,,,,,,,,Oman,Oman_CA,Shuram,123,-18.80428159,5,2.6,2.7,4.3,2.8,2.7,2.7,4.2,2.3,2.4,8,3.2,2.9,6.1,6.1,3,2.9
WS_2.1_B,Oman,Oman_CA,Shuram,2,59.1,-10.42,-8.334581519,1.1,1.6,1.6,3.2,3.3,3.1,3.3,0.4747,0.0208,0.0416,0.0086,0.0408,76,10.8,11.9,20.7,25.1,20.3,24.6,0.2544,0.0889,0.0095,0.1753,Calcite,,,,,,,,,,Oman,Oman_CA,Shuram,81.4,-18.75458152,0.2,3.2,3.2,-0.5,3.2,3.3,3.3,0,2.8,2.9,2.9,3.4,3.2,1.1,1.1,3.3,3.1
WS_2.6,Oman,Oman_CA,Shuram,3,91.4,-10.47,-8.392781962,2.5,1.3,1.4,2.7,2.9,2.6,2.8,0.4557,0.0171,0.0342,0.0026,0.0336,86.8,9.8,10.7,18.8,22.3,18.5,21.9,0.1867,0.073,0.0729,0.1441,Calcite,,,,,,,,,,Oman,Oman_CA,Shuram,93,-18.86278196,1.7,2.6,2.7,0.9,2.7,2.7,2.7,1.2,2.4,2.3,4.4,2.9,2.8,2.5,2.5,2.8,2.6
WS_5.4,Oman,Oman_CA,Shuram,3,93.7,-10.26,-8.635283805,6.8,1.5,1.5,3,3.2,2.9,3.1,0.4025,0.0171,0.0342,0.0184,0.0336,123.5,13,14.4,24.8,30.5,24.4,29.9,0.1326,0.076,0.032,0.15,Calcite,,,,,,,,,,Oman,Oman_CA,Shuram,132.7,-18.8952838,5.6,2.6,2.7,5,2.7,2.7,2.7,4.7,2.4,2.4,8.8,3.2,3,6.8,6.8,3.1,2.9
WS_7.7_A,Oman,Oman_CA,Shuram,4,82,-10.18,-8.528582994,-1.5,1.1,1.1,2.2,2.3,2.2,2.2,0.506,0.0151,0.0302,0.0062,0.0296,60.1,6.9,7.4,13.4,15.3,13.2,15,0.2408,0.0641,0.0826,0.1264,Calcite,,,,,,,,,,Oman,Oman_CA,Shuram,64.5,-18.70858299,-2.4,2.3,2.3,-3.2,2.3,2.4,2.4,-2.4,2,2.1,0.2,2.3,2.2,-1.5,-1.5,2.2,2.2
WS_7.7_B,Oman,Oman_CA,Shuram,3,83.8,-10.2,-8.247280856,2.5,1.4,1.4,2.7,2.8,2.6,2.8,0.4577,0.0171,0.0342,0.0147,0.0336,85.7,9.7,10.5,18.6,22.1,18.3,21.7,0.1716,0.0736,0.0171,0.1452,Calcite,,,,,,,,,,Oman,Oman_CA,Shuram,91.7,-18.44728086,1.6,2.7,2.6,0.9,2.7,2.7,2.7,1.2,2.4,2.3,4.4,2.8,2.8,2.5,2.5,2.8,2.6
ETH-1,Standard,,Standard,63,47.3,1.97,-1.971333159,38.3,,,,,,,0.2052,,,0.0218,,600.7,,,,,,,0.138,,0.0432,,Calcite,Synthetic_or_standard,,,n,Standard,,,ETH-1,,Standard,,,770,-0.001333159,28.1,,,27.9,,,,25.5,,,41.1,,,38.3,38.3,,
ETH-2,Standard,,Standard,64,46.6,-10.12,-18.48085863,20.4,,,,,,,0.2085,,,0.0241,,573.9,,,,,,,0.138,,0.1012,,Calcite,Synthetic_or_standard,,,n,Standard,,,ETH-2,,Standard,,,724.2,-28.60085863,10.8,,,10.6,,,,8.3,,,23.2,,,20.4,20.4,,
ETH-3,Standard,,Standard,77,73.7,1.65,-1.447529178,-1.9,,,,,,,0.6132,,,0.0243,,18.7,,,,,,,0.27,,0.1131,,Calcite,Synthetic_or_standard,,,n,Standard,,,ETH-3,,Standard,,,20.8,0.202470822,-3.7,,,-4.7,,,,-2.8,,,-0.4,,,-1.9,-1.9,,
ETH-4,Standard,,Standard,74,62.2,-10.26,-18.64575988,-7.4,,,,,,,0.4505,,,0.0193,,90,,,,,,,0.223,,0.0966,,Calcite,Synthetic_or_standard,,,n,Standard,,,ETH-4,,Standard,,,96.4,-28.90575988,-8.3,,,-9,,,,-8.8,,,-5.6,,,-7.4,-7.4,,
IAEA-C1,Standard,,Standard,23,90.7,2.33,-2.058633822,22.7,0.7,0.8,1.4,1.6,1.4,1.6,0.3104,0.0066,0.0132,0.018,0.013,226.8,10.2,10.9,19.9,22.5,19.6,22.2,0.1746,0.0338,0.0952,0.0668,Calcite,Synthetic_or_standard,,,n,Standard,,,IAEA-C1,,Standard,,,249.1,0.271366178,19.6,1,1.1,19.2,1,1.1,1.1,17.9,0.9,0.9,25.1,1.5,1.5,22.7,22.7,1.6,1.4
IAEA-C2,Standard,,Standard,53,27.9,-8.04,-8.838985353,-11,,,,,,,0.6409,,,0.0252,,10.2,,,,,,,0.3204,0.0288,0.0632,0.0569,Calcite,Synthetic_or_standard,,,n,Standard,,,IAEA-C2,,Standard,,,12,-16.87898535,-13.2,,,-14.3,,,,-12.1,,,-9.6,,,-11,-11,,
MERCK,Standard,,Standard,3,104.9,-42.02,-15.44473556,-9.9,1.4,1.5,2.8,3,2.8,3,0.5252,0.0203,0.0406,0.0035,0.0399,51.4,8.5,9.3,16.4,19.4,16.2,19,,,,,Calcite,Synthetic_or_standard,,,n,Standard,,,MERCK,,Standard,,,55.2,-57.46473556,-10.9,3.1,3.1,-11.7,3.2,3.2,3.2,-10.7,2.7,2.8,-8.2,3,2.9,-9.9,-9.9,3,2.8
NCM,Standard,,Standard,10,,2.06,-1.563930062,25.2,1.5,1.6,2.9,3.3,2.9,3.2,0.2935,0.0128,0.0256,0.0944,0.025,256.3,22.7,26.1,42.8,56.5,41.9,54.9,,,,,Calcite,,,,,,,,,,Standard,,,283.7,0.496069938,21.4,2,2,21,2.1,2,2,19.6,1.8,1.8,27.6,3.3,3,25.2,25.2,3.2,2.9
KDW2_130.2_A_A,Oman,Oman_DL,TopKhufai,4,64.5,-1.04,-4.895686224,-5.3,1.2,1.2,2.4,2.4,2.4,2.4,0.5775,0.015,0.03,0.034,0.0296,30.7,5.2,5.5,10.2,11.4,10.1,11.2,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,TopKhufai,33.4,-5.935686224,-4.4,2.4,2.3,-5.3,2.4,2.4,2.4,-3.8,2.1,2,-1.4,2.1,2,-2.9,-2.9,2,2
KDW2_130.6_A_B,Oman,Oman_DL,TopKhufai,1,67.7,-1.43,-4.973286814,0.4,2.3,2.4,4.7,4.7,4.6,4.7,0.5048,0.0293,0.0586,,0.0576,60.7,13.1,14.9,24.8,31.9,24.4,31.3,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,TopKhufai,65.1,-6.403286814,1.3,4.5,4.5,0.4,4.7,4.6,4.6,1.2,4.1,4,3.9,4.6,4.3,2.2,2.2,4.5,4.2
KDW2_131.8_A,Oman,Oman_DL,TopKhufai,4,94.6,-1.21,-5.38068991,0.7,1.3,1.3,2.6,2.6,2.6,2.6,0.4964,0.0162,0.0324,0.0185,0.0318,64.8,7.7,8.3,14.9,17.2,14.7,16.9,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,TopKhufai,69.4,-6.59068991,1.5,2.5,2.5,0.7,2.6,2.6,2.6,1.4,2.2,2.2,4.1,2.6,2.4,2.4,2.4,2.4,2.4
KDW2_131.8_AA,Oman,Oman_DL,TopKhufai,3,81.8,-1.92,-6.113264637,-4.5,1.2,1.2,2.3,2.4,2.3,2.3,0.5828,0.0173,0.0346,0.009,0.034,28.8,5.9,6.3,11.5,13,11.3,12.7,,,,,Dolomite,,,,,,,,,,Oman,Oman_CA,TopKhufai,31.4,-8.033264637,-6,2.7,2.6,-7,2.8,2.7,2.7,-5.3,2.3,2.4,-3,2.4,2.3,-4.5,-4.5,2.3,2.3
KDW2_131.8_H_A,Oman,Oman_DL,TopKhufai,3,78.5,-0.27,-4.915086372,-0.1,1.4,1.4,2.7,2.7,2.7,2.7,0.5121,0.017,0.034,0.0062,0.0334,57.3,7.6,8.1,14.7,16.9,14.4,16.6,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,TopKhufai,61.4,-5.185086372,0.7,2.7,2.6,-0.1,2.7,2.7,2.7,0.8,2.3,2.3,3.4,2.6,2.5,1.7,1.7,2.5,2.4
KDW2_131.8_J_C,Oman,Oman_DL,TopKhufai,1,40.6,-0.45,-5.700792343,-3.8,2.4,2.3,4.7,4.6,4.6,4.5,0.549,0.029,0.058,,0.0569,41.5,11,12.2,20.8,26,20.5,25.4,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,TopKhufai,44.7,-6.150792343,-2.9,4.4,4.5,-3.8,4.5,4.6,4.6,-2.6,4,3.9,-0.2,4.3,3.9,-1.8,-1.8,4.2,3.8
MDE_292.5,Oman,Oman_DL,TopKhufai,7,85.5,-5.46,-6.418597798,-0.7,1.1,1,2.1,2.1,2.1,2.1,0.5009,0.0131,0.0262,0.0264,0.0257,62.6,6.2,6.5,12,13.4,11.8,13.2,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,TopKhufai,67.1,-11.8785978,0.1,2,2,-0.7,2.1,2.1,2.1,0.1,1.8,1.8,2.7,2.1,1.9,1,1,2,1.9
MDE_293.4,Oman,Oman_DL,TopKhufai,5,91.7,-8.48,-6.602899199,-1.2,1.2,1.2,2.4,2.4,2.4,2.3,0.5052,0.0149,0.0298,0.0135,0.0293,60.5,6.9,7.3,13.3,15.1,13.1,14.9,,,,,Dolomite,,,,,,,,,,Oman,Oman_DL,TopKhufai,64.9,-15.0828992,-0.4,2.3,2.3,-1.2,2.3,2.4,2.4,-0.4,2,2.1,2.2,2.3,2.2,0.5,0.5,2.2,2.2