Batch,20171216 clumped Oman KDB_4,Collected on,12/26/2017 15:14,Analysis Instrument,PS019,Acquisition Software,,Stable 1.69.5,Reanalyzed  on,12/26/2017 16:13,Reanalysis Instrument,PS019,Reanalysis Software,Stable 1.69.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,Batch,Data,Sample,Method,Analysis,Batch,Time,Sample,Vial,Initial,Sample,ColdFinger,Transducer,InletPiraniPressure,Sample,MaxPumpOverPressure,RawPumpOverPressure,Sample,Min,Max,Pre-balance,Pre-depleted,Final,Final,Depletion,Balance,Balance,RefBellowsPos,SamBellowsPos,Pirani,Current,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Sam,Ref,Ave,Ref Major,Sam Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Std,Rejected,Num,Delta(18),Std,Rejected,Num,DELTA,DELTA,DELTA
Dir   ,Name   ,File   ,Name   ,  ,  ,Started   ,Collected   ,Weight   ,Location   ,Sam Beam   ,Yield   ,Status   ,Pressure   ,  ,Chops   ,  ,  ,Operations   ,Ref Beam   ,Ref Beam   ,Sam Beam   ,Ref Beam   ,Sam Beam   ,Ref Beam   ,Factor  ,End   ,%  ,  ,  ,Pressure   ,Mass   ,Length    ,Offset   ,Beams (0) ,Beams (1) ,Beams (2) ,Beams (3) ,Beams (4) ,Beams (5) ,Depletion   ,Depletion   ,Temperature   ,Signal(44),Signal(44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,Err,,,wrt PDB,Err,,,47,48,49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:\Nu Stable\Results\2017\20171216 clumped Oman KDB_4,20171216 clumped Oman KDB_4,Data_3689 MDE 293.4.txt,MDE 293.4,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,12/26/2017 15:14,12/26/2017 15:14,431,24,3.88E-08,9.01E-11,CF,8.606,1.00E-03,0,1.00E-03,6304, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; SampleReady; (BeamTooBig_RunningMisBalanced) ;,3.79E-08,1.07E-07,3.73E-08,2.81E-09,2.81E-09,2.80E-09,0.96,12/26/2017 15:13,-7.1,8398,8446,1.00E-03,45.814,20,0,-1.06E-13,-5.26E-14,-5.80E-14,-2.68E-14,1.09E-13,3.67E-12,27,29,70.48,2.17E-08,1.99E-08,1.19E-02,4.22E-03,4.88E-05,4.70E-06,6.66E-08,1.20E-02,4.19E-03,4.86E-05,4.62E-06,6.27E-08,-4.0179,8.6128,4.1849,17.3846,70.1124,-7.8965,0.017,0,60,-7.1932,0.024,0,60,-0.116,0.0833,56.7267
C:\Nu Stable\Results\2017\20171216 clumped Oman KDB_4,20171216 clumped Oman KDB_4,Data_3690 ETH1.txt,ETH1,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,12/26/2017 15:14,12/26/2017 16:35,468,25,4.55E-08,9.72E-11,CF,9.888,1.00E-03,0,1.00E-03,6336, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.91E-08,1.07E-07,4.37E-08,4.23E-08,4.22E-08,4.22E-08,0.96,12/26/2017 16:35,-0.01,7916,8446,1.00E-03,45.814,20,0,-1.06E-13,-5.26E-14,-5.80E-14,-2.53E-14,1.13E-13,4.14E-12,27,29,70.99,2.31E-08,2.28E-08,1.20E-02,4.24E-03,4.94E-05,4.73E-06,6.84E-08,1.20E-02,4.19E-03,4.86E-05,4.61E-06,6.45E-08,5.4788,12.359,17.8931,24.8442,60.6197,2.0745,0.008,0,60,-3.5225,0.011,0,60,0.0153,-0.0259,29.3011
C:\Nu Stable\Results\2017\20171216 clumped Oman KDB_4,20171216 clumped Oman KDB_4,Data_3691 ETH2.txt,ETH2,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,12/26/2017 15:14,12/26/2017 17:57,488,26,5.11E-08,1.05E-10,CF,10.742,1.00E-03,0,1.00E-03,6336, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.89E-08,1.07E-07,4.90E-08,4.72E-08,4.72E-08,4.72E-08,0.96,12/26/2017 17:56,-0.03,7249,8446,1.00E-03,45.795,20,0,-1.06E-13,-5.24E-14,-5.81E-14,-2.43E-14,1.15E-13,4.30E-12,28,30,70.99,2.54E-08,2.50E-08,1.18E-02,4.14E-03,4.77E-05,4.54E-06,6.51E-08,1.19E-02,4.16E-03,4.82E-05,4.59E-06,6.34E-08,-6.2257,-4.8073,-11.4698,-9.3212,29.6328,-9.7819,0.002,0,60,-20.4122,0.004,0,60,-0.3567,0.2729,46.3662
C:\Nu Stable\Results\2017\20171216 clumped Oman KDB_4,20171216 clumped Oman KDB_4,Data_3692 ETH3.txt,ETH3,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,12/26/2017 15:14,12/26/2017 19:19,436,27,4.31E-08,9.88E-11,CF,9.521,1.00E-03,0,1.00E-03,6336, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.86E-08,1.07E-07,4.13E-08,3.97E-08,3.97E-08,3.97E-08,0.96,12/26/2017 19:18,-0.05,8200,8446,1.00E-03,45.795,20,0,-1.06E-13,-5.26E-14,-5.81E-14,-2.45E-14,1.14E-13,4.28E-12,27,29,70.99,2.19E-08,2.17E-08,1.20E-02,4.21E-03,4.91E-05,4.69E-06,7.03E-08,1.19E-02,4.16E-03,4.82E-05,4.58E-06,6.56E-08,5.468,12.3482,17.9255,24.8306,71.1612,2.0635,0.002,0,60,-3.5331,0.002,0,60,0.0686,-0.0179,39.5652
C:\Nu Stable\Results\2017\20171216 clumped Oman KDB_4,20171216 clumped Oman KDB_4,Data_3693 ETH4.txt,ETH4,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,12/26/2017 15:14,12/26/2017 20:40,489,28,5.11E-08,1.04E-10,CF,11.108,1.00E-03,0,1.00E-03,6336, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.81E-08,1.07E-07,4.90E-08,4.73E-08,4.73E-08,4.73E-08,0.96,12/26/2017 20:40,-0.05,7155,8446,1.00E-03,45.793,20,0,-1.06E-13,-5.26E-14,-5.81E-14,-2.40E-14,1.16E-13,4.38E-12,28,30,71.26,2.53E-08,2.49E-08,1.18E-02,4.14E-03,4.77E-05,4.53E-06,6.61E-08,1.19E-02,4.16E-03,4.82E-05,4.57E-06,6.39E-08,-6.2728,-4.8945,-11.3734,-9.3032,34.9396,-9.8289,0.002,0,60,-20.498,0.004,0,60,-0.124,0.4663,51.9941
C:\Nu Stable\Results\2017\20171216 clumped Oman KDB_4,20171216 clumped Oman KDB_4,Data_3694 MDE 292.5.txt,MDE 292.5,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,12/26/2017 15:14,12/26/2017 22:00,483,29,4.05E-08,8.38E-11,CF,9.46,1.00E-03,0,1.00E-03,6368, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.77E-08,1.07E-07,3.89E-08,3.94E-08,3.94E-08,3.95E-08,0.96,12/26/2017 21:59,-0.1,8105,8446,1.00E-03,45.793,20,0,-1.06E-13,-5.28E-14,-5.81E-14,-2.42E-14,1.16E-13,4.29E-12,27,29,71.26,2.18E-08,2.16E-08,1.19E-02,4.20E-03,4.86E-05,4.66E-06,6.43E-08,1.19E-02,4.16E-03,4.82E-05,4.58E-06,6.04E-08,-1.396,8.4953,6.8836,17.142,67.1769,-5.1041,0.001,0,60,-7.3147,0.002,0,60,-0.0269,0.0774,51.1227
C:\Nu Stable\Results\2017\20171216 clumped Oman KDB_4,20171216 clumped Oman KDB_4,Data_3695 MDE 293.4.txt,MDE 293.4,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,12/26/2017 15:14,12/26/2017 23:20,427,30,3.93E-08,9.21E-11,CF,9.186,1.00E-03,0,1.00E-03,6304, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.72E-08,1.07E-07,3.77E-08,3.83E-08,3.80E-08,3.82E-08,0.96,12/26/2017 23:19,-0.45,8217,8446,1.00E-03,45.795,20,0,-1.06E-13,-5.29E-14,-5.81E-14,-2.45E-14,1.14E-13,4.24E-12,27,29,71.26,2.10E-08,2.08E-08,1.19E-02,4.20E-03,4.84E-05,4.65E-06,6.98E-08,1.19E-02,4.16E-03,4.82E-05,4.57E-06,6.66E-08,-4.2042,8.3183,3.7598,16.7723,48.9704,-8.0845,0.002,0,60,-7.483,0.002,0,60,-0.0593,0.0654,36.6465
C:\Nu Stable\Results\2017\20171216 clumped Oman KDB_4,20171216 clumped Oman KDB_4,Data_3696 KDW2 131.8A.txt,KDW2 131.8A,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,12/26/2017 15:14,12/27/2017 0:39,438,31,4.10E-08,9.36E-11,CF,9.766,1.00E-03,0,1.00E-03,6368, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.69E-08,1.07E-07,3.93E-08,3.99E-08,3.99E-08,3.99E-08,0.96,12/27/2017 0:39,-0.11,7914,8444,1.00E-03,45.795,20,0,-1.06E-13,-5.29E-14,-5.81E-14,-2.43E-14,1.15E-13,4.25E-12,27,29,71.26,2.20E-08,2.18E-08,1.19E-02,4.20E-03,4.88E-05,4.66E-06,6.70E-08,1.19E-02,4.16E-03,4.82E-05,4.57E-06,6.37E-08,2.5735,9.5404,12.0271,19.1238,53.9535,-0.9185,0.001,0,60,-6.2935,0.002,0,60,-0.0381,-0.0462,31.6264
C:\Nu Stable\Results\2017\20171216 clumped Oman KDB_4,20171216 clumped Oman KDB_4,Data_3697 KDW2 59.0.txt,KDW2 59.0,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,12/26/2017 15:14,12/27/2017 1:59,436,32,3.98E-08,9.14E-11,CF,9.521,1.00E-03,0,1.00E-03,6304, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.65E-08,1.07E-07,3.82E-08,3.88E-08,3.88E-08,3.88E-08,0.96,12/27/2017 1:58,-0.13,8014,8446,1.00E-03,45.797,20,0,-1.06E-13,-5.30E-14,-5.80E-14,-2.42E-14,1.15E-13,4.28E-12,27,29,71.26,2.14E-08,2.13E-08,1.20E-02,4.21E-03,4.91E-05,4.68E-06,6.76E-08,1.19E-02,4.16E-03,4.82E-05,4.58E-06,6.30E-08,7.0851,11.2353,18.4424,22.5077,74.9166,3.8213,0.001,1,60,-4.6333,0.002,1,60,-0.0058,-0.0299,43.7657
C:\Nu Stable\Results\2017\20171216 clumped Oman KDB_4,20171216 clumped Oman KDB_4,Data_3698 KDW2 64.8.txt,KDW2 64.8,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,12/26/2017 15:14,12/27/2017 3:20,528,33,3.73E-08,7.06E-11,CF,8.545,1.00E-03,0,1.00E-03,6336, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.61E-08,1.07E-07,3.58E-08,3.63E-08,3.51E-08,3.62E-08,0.96,12/27/2017 3:19,-3.05,8364,8444,1.00E-03,45.797,20,0,-1.06E-13,-5.32E-14,-5.80E-14,-2.47E-14,1.14E-13,4.24E-12,27,29,71.26,2.01E-08,1.95E-08,1.20E-02,4.22E-03,4.92E-05,4.70E-06,7.57E-08,1.19E-02,4.16E-03,4.82E-05,4.58E-06,7.04E-08,6.0864,13.1545,19.3175,26.5743,75.7229,2.6934,0.003,0,60,-2.74,0.004,0,60,0.0181,0.0899,41.6764
C:\Nu Stable\Results\2017\20171216 clumped Oman KDB_4,20171216 clumped Oman KDB_4,Data_3699 ETH3.txt,ETH3,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,12/26/2017 15:14,12/27/2017 4:42,446,34,4.16E-08,9.32E-11,CF,9.552,1.00E-03,0,1.00E-03,6336, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.57E-08,1.07E-07,3.99E-08,3.87E-08,3.86E-08,3.86E-08,0.96,12/27/2017 4:41,-0.05,7912,8444,1.00E-03,45.795,20,0,-1.06E-13,-5.32E-14,-5.80E-14,-2.46E-14,1.15E-13,4.20E-12,27,29,71.26,2.12E-08,2.11E-08,1.20E-02,4.21E-03,4.91E-05,4.69E-06,6.64E-08,1.19E-02,4.16E-03,4.82E-05,4.58E-06,6.29E-08,5.4979,12.3929,17.936,24.8804,56.217,2.0937,0.002,0,60,-3.4892,0.002,0,60,0.005,-0.0575,24.9397
C:\Nu Stable\Results\2017\20171216 clumped Oman KDB_4,20171216 clumped Oman KDB_4,Data_3700 ETH2.txt,ETH2,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,12/26/2017 15:14,12/27/2017 6:03,440,35,4.49E-08,1.02E-10,CF,9.949,1.00E-03,0,1.00E-03,6336, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.53E-08,1.07E-07,4.31E-08,4.16E-08,4.16E-08,4.16E-08,0.96,12/27/2017 6:03,-0.07,7418,8450,1.00E-03,45.795,20,0,-1.06E-13,-5.32E-14,-5.80E-14,-2.43E-14,1.15E-13,4.36E-12,27,29,71.26,2.28E-08,2.25E-08,1.18E-02,4.14E-03,4.77E-05,4.53E-06,6.57E-08,1.19E-02,4.16E-03,4.82E-05,4.58E-06,6.46E-08,-6.2229,-4.8059,-11.5457,-9.6194,18.0058,-9.779,0.002,0,60,-20.4109,0.004,0,60,-0.4377,-0.031,34.5448
