Batch,20171229 clumped Oman KDB,Collected on,2029/12/17 13:59:51,Analysis Instrument,PS019,Acquisition Software,,Stable 1.69.5,Reanalyzed  on,2018/03/29 09:38:47,Reanalysis Instrument,PS019,Reanalysis Software,Stable 1.69.5

Data,Batch,Data,Sample,Method,Analysis,Batch,Time,Sample,Vial,Initial,Sample,ColdFinger,Transducer,InletPiraniPressure,Sample,MaxPumpOverPressure,RawPumpOverPressure,Sample,Min,Max,Pre-balance,Pre-depleted,Final,Final,Depletion,Balance,Balance,RefBellowsPos,SamBellowsPos,Pirani,Current,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Sam,Ref,Ave,Ref Major,Sam Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Std,Rejected,Num,Delta(18),Std,Rejected,Num,DELTA,DELTA,DELTA,
Dir   ,Name   ,File   ,Name   ,  ,  ,Started   ,Collected   ,Weight   ,Location   ,Sam Beam   ,Yield   ,Status   ,Pressure   ,  ,Chops   ,  ,  ,Operations   ,Ref Beam   ,Ref Beam   ,Sam Beam   ,Ref Beam   ,Sam Beam   ,Ref Beam   ,Factor  ,End   ,%  ,  ,  ,Pressure   ,Mass   ,Length    ,Offset   ,Beams (0) ,Beams (1) ,Beams (2) ,Beams (3) ,Beams (4) ,Beams (5) ,Depletion   ,Depletion   ,Temperature   ,Signal(44),Signal(44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,Err,,,wrt PDB,Err,,,47,48,49,

C:\Nu Stable\Results\2017\20171229 clumped Oman KDB,20171229 clumped Oman KDB,Data_3765 ETH1.txt,ETH1,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2029/12/17 13:59:51,2017/12/29 13:59:51,461,3,1.8199e-07,3.947777E-10,CF,30.914,1.000e-03,1,1.0000e-03,6304,  InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;",3.9822e-08,1.0727e-07,8.1406e-08,8.1649e-08,8.1630e-08,8.1705e-08,0.96,2029/12/17 13:59:11,-0.09,4983,8447,1.0000e-03,45.806,20,0.000,-1.0500e-13,-5.2916e-14,-5.7650e-14,-2.4632e-14,1.1337e-13,4.0877e-12,22.00,23.00,25.00,5.23907e-08,5.10392e-08,1.19806e-02,4.2120e-03,4.9036e-05,4.6921e-06,6.1800e-08,1.1912e-02,4.1623e-03,4.8208e-05,4.5835e-06,5.8573e-08,5.7322,11.9180,17.1671,23.6724,55.9898,2.3591,0.003,0,60,-3.9577,0.005,0,60,-0.5287,-0.2984,25.4130,
C:\Nu Stable\Results\2017\20171229 clumped Oman KDB,20171229 clumped Oman KDB,Data_3766 ETH4.txt,ETH4,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2029/12/17 13:59:51,2017/12/29 15:20:57,480,4,1.8073e-07,3.765294E-10,CF,30.182,1.000e-03,1,1.0000e-03,6336,  InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;",4.0081e-08,1.0702e-07,7.9996e-08,8.0331e-08,8.0290e-08,8.0242e-08,0.96,2029/12/17 15:20:17,0.06,5022,8447,1.0000e-03,45.802,20,0.000,-1.0513e-13,-5.2814e-14,-5.7745e-14,-2.1617e-14,1.2061e-13,4.6304e-12,22.00,22.00,25.00,5.11482e-08,4.99912e-08,1.18302e-02,4.1380e-03,4.7584e-05,4.5228e-06,5.8812e-08,1.1906e-02,4.1586e-03,4.8143e-05,4.5670e-06,5.7886e-08,-6.3257,-4.9371,-11.5979,-9.6784,16.2474,-9.8838,0.002,0,60,-20.5398,0.003,0,60,-0.2542,0.1731,33.1394,
C:\Nu Stable\Results\2017\20171229 clumped Oman KDB,20171229 clumped Oman KDB,Data_3767 KDW2 64.8.txt,KDW2 64.8,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2029/12/17 13:59:51,2017/12/29 16:41:21,435,5,1.0216e-07,2.348478E-10,CF,19.134,1.000e-03,0,1.0000e-03,6336,  InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;",3.9327e-08,1.0718e-07,9.8064e-08,9.7559e-08,9.7457e-08,9.7483e-08,0.96,2029/12/17 16:40:40,-0.03,4337,8446,1.0000e-03,45.802,20,0.000,-1.0523e-13,-5.2974e-14,-5.7778e-14,-2.1034e-14,1.2324e-13,4.8897e-12,32.00,33.00,25.00,4.66638e-08,4.49192e-08,1.19785e-02,4.2145e-03,4.9093e-05,4.6866e-06,5.9418e-08,1.1906e-02,4.1597e-03,4.8169e-05,4.5656e-06,5.5488e-08,6.0726,13.1718,19.1772,26.4918,71.9012,2.6781,0.003,0,60,-2.7229,0.007,0,60,-0.1222,-0.0247,37.9581,
C:\Nu Stable\Results\2017\20171229 clumped Oman KDB,20171229 clumped Oman KDB,Data_3768 MDE 292.5.txt,MDE 292.5,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2029/12/17 13:59:51,2017/12/29 18:01:54,448,6,1.5776e-07,3.521458E-10,CF,27.374,1.000e-03,1,1.0000e-03,6304,  InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;",3.8737e-08,1.0702e-07,6.9881e-08,7.0089e-08,7.0067e-08,7.0011e-08,0.96,2029/12/17 18:01:14,0.08,5397,8446,1.0000e-03,45.799,20,0.000,-1.0541e-13,-5.3258e-14,-5.7872e-14,-2.1851e-14,1.2013e-13,4.6447e-12,21.00,22.00,25.00,4.52060e-08,4.43633e-08,1.18890e-02,4.1958e-03,4.8494e-05,4.6465e-06,6.0849e-08,1.1906e-02,4.1601e-03,4.8169e-05,4.5685e-06,5.8187e-08,-1.4032,8.5713,6.7639,17.0684,45.8184,-5.1144,0.002,0,60,-7.2398,0.003,0,60,-0.2123,-0.1453,29.9409,
C:\Nu Stable\Results\2017\20171229 clumped Oman KDB,20171229 clumped Oman KDB,Data_3769 ETH3.txt,ETH3,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2029/12/17 13:59:51,2017/12/29 19:23:14,466,7,1.8975e-07,4.071783E-10,CF,31.616,1.000e-03,1,1.0000e-03,6336,  InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;",3.7881e-08,1.0724e-07,8.4562e-08,8.4143e-08,8.4092e-08,8.4030e-08,0.96,2029/12/17 19:22:33,0.07,4672,8446,1.0000e-03,45.799,20,0.000,-1.0551e-13,-5.3280e-14,-5.7847e-14,-2.0633e-14,1.2399e-13,4.9022e-12,22.00,23.00,25.00,5.33459e-08,5.20916e-08,1.19700e-02,4.2108e-03,4.9001e-05,4.6788e-06,6.1256e-08,1.1905e-02,4.1594e-03,4.8148e-05,4.5654e-06,5.8265e-08,5.4252,12.3614,17.7152,24.8416,51.4179,2.0174,0.002,0,60,-3.5200,0.004,0,60,-0.1069,-0.0332,20.4243,
C:\Nu Stable\Results\2017\20171229 clumped Oman KDB,20171229 clumped Oman KDB,Data_3770 ETH2.txt,ETH2,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2029/12/17 13:59:51,2017/12/29 20:44:31,457,8,1.9906e-07,4.355698E-10,CF,32.837,1.000e-03,1,1.0000e-03,6304,  InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;",3.7019e-08,1.0708e-07,8.8859e-08,8.8137e-08,8.8056e-08,8.7970e-08,0.96,2029/12/17 20:43:50,0.10,4443,8446,1.0000e-03,45.801,20,0.000,-1.0553e-13,-5.3415e-14,-5.7897e-14,-2.0846e-14,1.2379e-13,4.8834e-12,22.00,23.00,25.00,5.51912e-08,5.38117e-08,1.18309e-02,4.1390e-03,4.7580e-05,4.5215e-06,5.7696e-08,1.1906e-02,4.1595e-03,4.8149e-05,4.5660e-06,5.7573e-08,-6.3015,-4.9212,-11.8211,-9.7286,2.3481,-9.8585,0.002,0,60,-20.5243,0.003,0,60,-0.5208,0.0905,18.9507,
C:\Nu Stable\Results\2017\20171229 clumped Oman KDB,20171229 clumped Oman KDB,Data_3771 KDW2 131.8A.txt,KDW2 131.8A,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2029/12/17 13:59:51,2017/12/29 22:06:20,443,9,1.8704e-07,4.222205E-10,CF,30.579,1.000e-03,1,1.0000e-03,6304,  InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;",3.6161e-08,1.0688e-07,8.3172e-08,8.2633e-08,8.2603e-08,8.2499e-08,0.96,2029/12/17 22:05:40,0.13,4570,8447,1.0000e-03,45.801,20,0.000,-1.0561e-13,-5.3347e-14,-5.7879e-14,-2.0104e-14,1.2519e-13,5.0443e-12,22.00,23.00,25.00,5.24867e-08,5.13208e-08,1.19373e-02,4.1997e-03,4.8730e-05,4.6508e-06,6.1760e-08,1.1906e-02,4.1599e-03,4.8157e-05,4.5629e-06,5.9794e-08,2.5963,9.5923,11.8896,19.2776,33.9356,-0.8960,0.002,0,60,-6.2424,0.004,0,60,-0.2485,0.0009,11.9050,
C:\Nu Stable\Results\2017\20171229 clumped Oman KDB,20171229 clumped Oman KDB,Data_3772 MDE 293.4.txt,MDE 293.4,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2029/12/17 13:59:51,2017/12/30 00:05:05,466,10,1.7940e-07,3.849878E-10,CF,29.724,1.000e-03,1,1.0000e-03,6304,  InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;",3.5439e-08,1.0701e-07,8.0344e-08,7.9997e-08,7.9933e-08,7.9940e-08,0.96,1930/12/17 00:04:25,-0.01,4601,8446,1.0000e-03,45.797,20,0.000,-1.0544e-13,-5.3533e-14,-5.7922e-14,-2.1835e-14,1.2106e-13,4.6268e-12,22.00,22.00,25.00,5.08648e-08,4.97459e-08,1.18530e-02,4.1939e-03,4.8313e-05,4.6387e-06,5.8002e-08,1.1904e-02,4.1592e-03,4.8143e-05,4.5623e-06,5.5908e-08,-4.2572,8.3511,3.5345,16.7570,37.6467,-8.1420,0.002,0,60,-7.4506,0.004,0,60,-0.2608,-0.0147,25.4490,
C:\Nu Stable\Results\2017\20171229 clumped Oman KDB,20171229 clumped Oman KDB,Data_3773 ETH1.txt,ETH1,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2029/12/17 13:59:51,2017/12/30 02:04:18,465,11,1.8857e-07,4.055306E-10,CF,31.097,1.000e-03,1,1.0000e-03,6336,  InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;",3.4610e-08,1.0682e-07,8.4799e-08,8.4063e-08,8.3982e-08,8.3946e-08,0.96,1930/12/17 02:03:37,0.04,4368,8446,1.0000e-03,45.797,20,0.000,-1.0538e-13,-5.3561e-14,-5.7876e-14,-2.1724e-14,1.2118e-13,4.7922e-12,22.00,23.00,25.00,5.32934e-08,5.20211e-08,1.19712e-02,4.2080e-03,4.8954e-05,4.6684e-06,5.7853e-08,1.1903e-02,4.1587e-03,4.8133e-05,4.5604e-06,5.5289e-08,5.7028,11.8447,17.0496,23.6845,46.7336,2.3304,0.002,0,60,-4.0298,0.005,0,60,-0.5428,-0.1418,16.6006,
C:\Nu Stable\Results\2017\20171229 clumped Oman KDB,20171229 clumped Oman KDB,Data_3774 ETH4.txt,ETH4,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2029/12/17 13:59:51,2017/12/30 03:25:25,460,12,1.8032e-07,3.9201E-10,CF,29.602,1.000e-03,1,1.0000e-03,6304,  InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;",3.3728e-08,1.0696e-07,8.0163e-08,7.9515e-08,7.9463e-08,7.9365e-08,0.96,1930/12/17 03:24:45,0.12,4455,8446,1.0000e-03,45.799,20,0.000,-1.0549e-13,-5.3551e-14,-5.7894e-14,-2.0387e-14,1.2420e-13,4.9585e-12,22.00,22.00,25.00,5.05359e-08,4.94581e-08,1.18287e-02,4.1386e-03,4.7585e-05,4.5166e-06,5.6720e-08,1.1904e-02,4.1594e-03,4.8149e-05,4.5618e-06,5.6657e-08,-6.3567,-5.0080,-11.7233,-9.9043,1.7430,-9.9142,0.002,0,60,-20.6097,0.003,0,60,-0.2789,0.0874,18.5706,
C:\Nu Stable\Results\2017\20171229 clumped Oman KDB,20171229 clumped Oman KDB,Data_3775 KDW2 59.0.txt,KDW2 59.0,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2029/12/17 13:59:51,2017/12/30 04:46:31,477,13,1.9701e-07,4.130122E-10,CF,32.257,1.000e-03,1,1.0000e-03,6304,  InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;",3.2964e-08,1.0647e-07,8.7656e-08,8.7246e-08,8.7195e-08,8.7079e-08,0.96,1930/12/17 04:45:51,0.13,4102,8446,1.0000e-03,45.799,20,0.000,-1.0561e-13,-5.3582e-14,-5.7904e-14,-2.0095e-14,1.2594e-13,5.0783e-12,22.00,23.00,25.00,5.50396e-08,5.37514e-08,1.19875e-02,4.2055e-03,4.9009e-05,4.6628e-06,6.0856e-08,1.1904e-02,4.1591e-03,4.8140e-05,4.5605e-06,5.8344e-08,7.0084,11.1685,18.0506,22.4141,43.2160,3.7421,0.002,0,60,-4.6990,0.005,0,60,-0.2378,-0.0464,13.1206,
C:\Nu Stable\Results\2017\20171229 clumped Oman KDB,20171229 clumped Oman KDB,Data_3776 KDW2 64.8.txt,KDW2 64.8,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2029/12/17 13:59:51,2017/12/30 06:07:33,478,14,1.2692e-07,2.65518E-10,CF,22.522,1.000e-03,1,1.0000e-03,6368,  InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;",3.2096e-08,1.0715e-07,5.5973e-08,5.6207e-08,5.6170e-08,5.6158e-08,0.96,1930/12/17 06:06:53,0.02,5513,8443,1.0000e-03,45.797,20,0.000,-1.0557e-13,-5.3810e-14,-5.7896e-14,-2.1878e-14,1.2202e-13,4.7824e-12,20.00,21.00,25.00,3.71390e-08,3.66227e-08,1.19763e-02,4.2154e-03,4.9099e-05,4.6882e-06,6.0787e-08,1.1904e-02,4.1609e-03,4.8185e-05,4.5682e-06,5.8088e-08,6.0353,13.1032,18.9789,26.2518,46.2020,2.6409,0.001,0,60,-2.7904,0.002,0,60,-0.2120,-0.1231,13.2461,
C:\Nu Stable\Results\2017\20171229 clumped Oman KDB,20171229 clumped Oman KDB,Data_3777 ETH3.txt,ETH3,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2029/12/17 13:59:51,2017/12/30 07:29:07,462,15,1.6150e-07,3.495621E-10,CF,27.283,1.000e-03,1,1.0000e-03,6304,  InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;",3.1638e-08,1.0640e-07,7.1592e-08,7.1157e-08,7.1129e-08,7.0951e-08,0.96,1930/12/17 07:28:27,0.25,4592,8448,1.0000e-03,45.797,20,0.000,-1.0547e-13,-5.3758e-14,-5.7896e-14,-2.1433e-14,1.2172e-13,4.8110e-12,21.00,22.00,25.00,4.59287e-08,4.50756e-08,1.19681e-02,4.2110e-03,4.9006e-05,4.6757e-06,5.8723e-08,1.1903e-02,4.1596e-03,4.8154e-05,4.5621e-06,5.5770e-08,5.4324,12.3717,17.7076,24.9086,53.3085,2.0248,0.002,0,60,-3.5099,0.004,0,60,-0.1317,0.0119,22.2300,
C:\Nu Stable\Results\2017\20171229 clumped Oman KDB,20171229 clumped Oman KDB,Data_3778 ETH2.txt,ETH2,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2029/12/17 13:59:51,2017/12/30 08:50:09,482,16,2.1016e-07,4.36016E-10,CF,34.241,1.000e-03,1,1.0000e-03,6304,  InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;",3.0919e-08,1.0727e-07,9.4215e-08,9.3437e-08,9.3336e-08,9.3235e-08,0.96,1930/12/17 08:49:28,0.11,3722,8446,1.0000e-03,45.801,20,0.000,-1.0556e-13,-5.3696e-14,-5.7891e-14,-1.9884e-14,1.2512e-13,5.0354e-12,23.00,23.00,25.00,5.81853e-08,5.66914e-08,1.18291e-02,4.1379e-03,4.7558e-05,4.5141e-06,5.8056e-08,1.1904e-02,4.1583e-03,4.8128e-05,4.5587e-06,5.7896e-08,-6.3088,-4.9214,-11.8492,-9.7870,2.8056,-9.8664,0.002,0,60,-20.5244,0.005,0,60,-0.5414,0.0319,19.4245,
C:\Nu Stable\Results\2017\20171229 clumped Oman KDB,20171229 clumped Oman KDB,Data_3779 MDE 292.5.txt,MDE 292.5,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2029/12/17 13:59:51,2017/12/30 10:11:58,465,17,1.6230e-07,3.490404E-10,CF,27.893,1.000e-03,1,1.0000e-03,6304,  InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;",2.9929e-08,1.0707e-07,7.1841e-08,7.1226e-08,7.1214e-08,7.1028e-08,0.96,1930/12/17 10:11:18,0.26,4423,8444,1.0000e-03,45.801,20,0.000,-1.0548e-13,-5.3806e-14,-5.7936e-14,-2.0750e-14,1.2431e-13,5.0157e-12,21.00,22.00,25.00,4.59729e-08,4.51306e-08,1.18865e-02,4.1945e-03,4.8469e-05,4.6385e-06,5.6716e-08,1.1904e-02,4.1595e-03,4.8171e-05,4.5625e-06,5.9759e-08,-1.4672,8.4143,6.1667,16.6375,-6.8130,-5.1770,0.001,0,60,-7.3944,0.003,0,60,-0.5862,-0.2576,-21.5247,
