Batch,20230510 clumped PREC KDB NTA,Collected on,2023/05/10 18:17:57,Analysis Instrument,PS019,Acquisition Software,Stable 1.71.5,Reanalyzed  on,2023/05/10 19:16:57,Reanalysis Instrument,PS019,Reanalysis Software,Stable 1.71.5


Data,Batch,Data,Sample,Method,Analysis,Batch,Time,Sample,Vial,Initial,Sample,ColdFinger,Transducer,InletPiraniPressure,Sample,MaxPumpOverPressure,RawPumpOverPressure,Sample,Min,Max,Pre-balance,Pre-depleted,Final,Final,Depletion,Balance,Balance,RefBellowsPos,SamBellowsPos,Pirani,Current,Num,CO,Cycle,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Sam,Ref,Ave,Water,Water,Ave, StdDev, Min, Max, Started, Stopped, Num,Ref Major,Std,Rejected,Num,Sam Major,Std,Rejected,Num,Sample,Std,Rejected,Num,Sample,Std,Rejected,Num,Sample,Std,Rejected,Num,Sample,Std,Rejected,Num,Sample,Std,Rejected,Num,Ref,Std,Rejected,Num,Ref,Std,Rejected,Num,Ref,Std,Rejected,Num,Ref,Std,Rejected,Num,Ref,Std,Rejected,Num,Raw,Std,Rejected,Num,Raw,Std,Rejected,Num,Raw,Std,Rejected,Num,Raw,Std,Rejected,Num,Raw,Std,Rejected,Num,Delta(13),Std,Rejected,Num,Delta(18),Std,Rejected,Num,DELTA,Std,Rejected,Num,DELTA,Std,Rejected,Num,DELTA,Std,Rejected,Num,
Dir  ,Name  ,File  ,Name  , , ,Started  ,Collected  ,Weight  ,Location  ,Sam Beam  ,Yield  ,Status  ,Pressure  , ,Chops  , , ,Operations  ,Ref Beam  ,Ref Beam  ,Sam Beam  ,Ref Beam  ,Sam Beam  ,Ref Beam  ,Factor ,End  ,% , , ,Pressure  ,Mass  ,CO Cycles   ,Delay Time  ,Length  ,Length   ,Offset  ,Beams (0) ,Beams (1) ,Beams (2) ,Beams (3) ,Beams (4) ,Beams (5) ,Depletion  ,Depletion  ,Temperature  ,Trap Temperature Hot ,Trap Temperature Cold ,Temp, , ,,,,,Signal(44),Dev,,,Signal(44),Dev,,,Ratio(45/44),Dev,,,Ratio(46/44),Dev,,,Ratio(47/44),Dev,,,Ratio(48/44),Dev,,,Ratio(49/44),Dev,,,Ratio(45/44),Dev,,,Ratio(46/44),Dev,,,Ratio(47/44),Dev,,,Ratio(48/44),Dev,,,Ratio(49/44),Dev,,,Delta(45/44),Err,,,Delta(46/44),Err,,,Delta(47/44),Err,,,Delta(48/44),Err,,,Delta(49/44),Err,,,wrt PDB,Err,,,wrt PDB,Err,,,47,Err,,,48,Err,,,49,Err,,,

C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19559 ETH-1.txt,ETH-1,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/10 18:17:57,2023/05/10 18:17:57,418,1,1.1912e-07,2.849707E-10,CF,20.325,5.962e-02,1,5.8296e-02,15648, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.9662e-08,1.0630e-07,4.5935e-08,4.5702e-08,4.5667e-08,4.5552e-08,0.96,2023/05/10 18:17:11,0.25,7703,8448,5.9621e-02,46.046,20,8,20,20,0.000,-2.4233e-13,-1.1516e-13,-1.2386e-13,-6.8733e-14,2.9701e-14,3.2151e-12,23.00,23.00,64.18,-1.95e02,-1.62e02,64.18,0.00,64.18,64.18,2023/05/10 17:20:20,2023/05/10 18:17:37,114,2.81384e-08,0.000,0,63,2.72639e-08,9.80940e-10,0,60,1.20346e-02,5.87784e-08,0,60,4.2590e-03,2.4326e-08,0,60,4.9766e-05,4.0407e-09,0,60,4.7071e-06,4.2772e-09,0,60,-5.2248e-08,9.4664e-09,0,60,1.1979e-02,5.3122e-08,0,63,4.2113e-03,2.1836e-08,0,63,4.9008e-05,3.4421e-09,0,63,4.6035e-06,4.0553e-09,0,63,-5.1458e-08,8.7487e-09,0,63,4.6791,0.0010,0,60,11.3193,0.0019,0,60,15.4623,0.0164,0,60,22.5008,0.0864,0,60,148.9787,94.6295,0,60,1.6986,0.0011,0,60,5.3544,0.0019,0,60,-0.5442,0.0154,0,60,-0.2600,0.0854,0,60,118.2508,92.0976,0,60,
C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19560 ETH-2.txt,ETH-2,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/10 18:17:57,2023/05/10 19:39:32,422,2,1.2808e-07,3.034996E-10,CF,21.149,5.830e-02,1,5.5732e-02,15584, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.8822e-08,1.0671e-07,4.9851e-08,4.9997e-08,4.9964e-08,4.9843e-08,0.96,2023/05/10 19:38:46,0.24,7219,8447,5.8296e-02,46.046,20,8,20,20,0.000,-2.4797e-13,-1.1775e-13,-1.2656e-13,-6.9952e-14,2.9647e-14,3.4162e-12,23.00,24.00,64.18,-1.95e02,-1.63e02,64.18,0.00,64.18,64.18,2023/05/10 18:41:21,2023/05/10 19:20:59,79,3.04040e-08,0.000,0,63,2.94679e-08,1.08844e-09,0,60,1.18940e-02,7.87769e-08,0,60,4.1896e-03,2.5213e-08,0,60,4.8386e-05,2.2189e-09,0,60,4.5755e-06,2.3549e-09,0,60,-3.3013e-09,5.3158e-09,0,60,1.1980e-02,7.5236e-08,0,63,4.2117e-03,2.3323e-08,0,63,4.9029e-05,2.0677e-09,0,63,4.6249e-06,2.1758e-09,0,63,-1.0045e-09,4.8667e-09,0,63,-7.1560,0.0010,0,60,-5.2504,0.0013,0,60,-13.1073,0.0131,0,60,-10.7293,0.0873,0,60,-347.5235,436.7422,0,60,-10.3233,0.0010,0,60,-11.1093,0.0013,0,60,-0.6117,0.0133,0,60,-0.2589,0.0882,0,60,-335.6867,444.6815,0,60,
C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19561 ETH-3.txt,ETH-3,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/10 18:17:57,2023/05/10 21:01:03,459,3,1.4726e-07,3.208188E-10,CF,24.383,5.830e-02,1,5.5732e-02,15584, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.8040e-08,1.0645e-07,5.8477e-08,5.8644e-08,5.8601e-08,5.8463e-08,0.96,2023/05/10 21:00:17,0.24,6508,8446,5.8296e-02,46.049,20,8,20,20,0.000,-2.5160e-13,-1.1943e-13,-1.2838e-13,-7.0882e-14,2.9004e-14,3.5602e-12,24.00,25.00,64.28,-1.95e02,-1.63e02,64.28,0.15,64.18,64.50,2023/05/10 20:03:26,2023/05/10 20:42:31,78,3.48583e-08,0.000,0,63,3.37700e-08,1.30696e-09,0,60,1.20336e-02,7.87536e-08,0,60,4.2620e-03,2.8468e-08,0,60,4.9832e-05,8.8605e-10,0,60,4.7452e-06,9.0001e-10,0,60,2.1374e-08,2.4424e-09,0,60,1.1981e-02,7.2113e-08,0,63,4.2121e-03,2.8285e-08,0,63,4.9044e-05,8.4709e-10,0,63,4.6351e-06,8.2037e-10,0,63,2.0012e-08,2.2803e-09,0,63,4.4290,0.0009,0,60,11.8552,0.0026,0,60,16.0617,0.0114,0,60,23.7691,0.0663,0,60,293.3235,160.8449,0,60,1.4140,0.0010,0,60,5.8881,0.0026,0,60,-0.2189,0.0115,0,60,-0.0799,0.0648,0,60,257.7675,156.4305,0,60,
C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19562 IAEA-C2.txt,IAEA-C2,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/10 18:17:57,2023/05/10 22:22:31,500,4,1.6005e-07,3.201062E-10,CF,26.153,5.962e-02,1,5.6999e-02,15616, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.7192e-08,1.0653e-07,6.4339e-08,6.4406e-08,6.4338e-08,6.4204e-08,0.96,2023/05/10 22:21:45,0.21,6089,8446,5.9621e-02,46.044,20,8,20,20,0.000,-2.5313e-13,-1.2000e-13,-1.2913e-13,-7.1080e-14,2.9004e-14,3.5727e-12,25.00,25.00,64.50,-1.95e02,-1.58e02,64.50,0.00,64.50,64.50,2023/05/10 21:24:57,2023/05/10 22:04:01,78,3.78323e-08,0.000,0,63,3.66772e-08,1.45219e-09,0,60,1.19222e-02,6.48964e-08,0,60,4.2306e-03,4.1573e-08,0,60,4.8992e-05,1.1829e-09,0,60,4.6732e-06,1.0244e-09,0,60,2.3706e-08,2.6255e-09,0,60,1.1981e-02,6.2411e-08,0,63,4.2120e-03,4.6252e-08,0,63,4.9037e-05,1.1841e-09,0,63,4.6322e-06,9.4505e-10,0,63,2.4331e-08,2.4530e-09,0,63,-4.8794,0.0009,0,60,4.4164,0.0021,0,60,-0.9051,0.0104,0,60,8.8530,0.0767,0,60,1221.0548,1280.2444,0,60,-8.2357,0.0009,0,60,-1.4942,0.0021,0,60,-0.2018,0.0099,0,60,0.0006,0.0754,0,60,1213.3548,1275.8092,0,60,
C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19563 IAEA-C1.txt,IAEA-C1,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/10 18:17:57,2023/05/10 23:43:50,495,5,1.6225e-07,3.277871E-10,CF,26.581,5.830e-02,1,5.5732e-02,15584, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.6458e-08,1.0650e-07,6.5252e-08,6.5374e-08,6.5333e-08,6.5171e-08,0.96,2023/05/10 23:43:05,0.25,5967,8446,5.8296e-02,46.046,20,8,20,20,0.000,-2.5502e-13,-1.2071e-13,-1.2982e-13,-7.1247e-14,2.8718e-14,3.6809e-12,25.00,25.00,64.50,-1.95e02,-1.72e02,64.50,0.00,64.50,64.50,2023/05/10 22:46:26,2023/05/10 23:25:31,78,3.82896e-08,0.000,0,63,3.71765e-08,1.47842e-09,0,60,1.20419e-02,7.87384e-08,0,60,4.2596e-03,3.9268e-08,0,60,4.9829e-05,1.6525e-09,0,60,4.7495e-06,3.5343e-10,0,60,6.3304e-08,8.9334e-10,0,60,1.1981e-02,7.3129e-08,0,63,4.2121e-03,4.2795e-08,0,63,4.9053e-05,1.9305e-09,0,63,4.6450e-06,3.8083e-10,0,63,6.0173e-08,8.2313e-10,0,63,5.0864,0.0011,0,60,11.2609,0.0023,0,60,15.8211,0.0127,0,60,22.4887,0.0611,0,60,53.1202,4.8023,0,60,2.1340,0.0011,0,60,5.2954,0.0023,0,60,-0.5517,0.0114,0,60,-0.1564,0.0603,0,60,24.6334,4.6746,0,60,
C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19564 AU_MJ1_253_82.txt,AU_MJ1_253_82,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/10 18:17:57,2023/05/11 01:03:51,662,6,7.5870e-08,1.146076E-10,CF,12.604,5.962e-02,0,5.6999e-02,15616, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.5623e-08,1.0612e-07,7.2821e-08,7.4382e-08,7.4268e-08,7.3639e-08,0.96,2023/05/11 01:03:06,0.85,5533,8446,5.9621e-02,46.044,20,8,20,20,0.000,-2.5530e-13,-1.2095e-13,-1.3018e-13,-7.2126e-14,2.8753e-14,3.7068e-12,35.00,35.00,64.50,-1.95e02,-1.73e02,64.50,0.00,64.50,64.50,2023/05/11 00:08:01,2023/05/11 00:46:50,77,3.17380e-08,0.000,0,63,3.00361e-08,1.98320e-09,0,60,1.19475e-02,1.25693e-07,0,60,4.2069e-03,6.2730e-08,0,60,4.8840e-05,1.8010e-09,0,60,4.6274e-06,6.6256e-10,0,60,3.6807e-08,1.1377e-09,0,60,1.1980e-02,1.1838e-07,0,63,4.2118e-03,6.1474e-08,0,63,4.9054e-05,1.9326e-09,0,63,4.6392e-06,5.0895e-10,0,63,3.7308e-08,1.0438e-09,0,63,-2.7254,0.0012,0,60,-1.1724,0.0025,0,60,-4.3757,0.0167,0,60,-2.5425,0.0953,0,60,-15.4491,14.8142,0,60,-5.7496,0.0012,0,60,-7.0607,0.0025,0,60,-0.4184,0.0162,0,60,-0.1996,0.0941,0,60,-10.3078,14.8908,0,60,
C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19565 AU_MJ1_113_07.txt,AU_MJ1_113_07,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/10 18:17:57,2023/05/11 02:26:22,709,7,1.1836e-07,1.669382E-10,CF,19.684,5.830e-02,1,5.5732e-02,15616, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.4934e-08,1.0664e-07,4.5250e-08,4.5441e-08,4.5405e-08,4.5303e-08,0.96,2023/05/11 02:25:37,0.22,7193,8446,5.8296e-02,46.046,20,8,20,20,0.000,-2.5557e-13,-1.2115e-13,-1.3036e-13,-7.3873e-14,2.5928e-14,3.5191e-12,23.00,23.00,64.50,-1.95e02,-1.70e02,64.50,0.00,64.50,64.50,2023/05/11 01:29:20,2023/05/11 02:06:50,75,2.79879e-08,0.000,0,63,2.71266e-08,9.75035e-10,0,60,1.19470e-02,8.77011e-08,0,60,4.2080e-03,3.2127e-08,0,60,4.8858e-05,9.2400e-10,0,60,4.6396e-06,4.3832e-10,0,60,5.7245e-08,8.1685e-10,0,60,1.1980e-02,8.6386e-08,0,63,4.2121e-03,3.0230e-08,0,63,4.9068e-05,8.7145e-10,0,63,4.6495e-06,4.1484e-10,0,63,5.6604e-08,8.2717e-10,0,63,-2.7891,0.0010,0,60,-0.9952,0.0014,0,60,-4.2788,0.0143,0,60,-2.1197,0.0917,0,60,10.5008,6.5330,0,60,-5.8235,0.0011,0,60,-6.8842,0.0014,0,60,-0.4298,0.0144,0,60,-0.1307,0.0921,0,60,15.4933,6.5657,0,60,
C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19567 ETH-4.txt,ETH-4,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/10 18:17:57,2023/05/11 05:09:12,493,9,1.5454e-07,3.13463E-10,CF,25.299,5.962e-02,1,5.8296e-02,15616, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.4010e-08,1.0607e-07,6.1738e-08,6.1792e-08,6.1737e-08,6.1602e-08,0.96,2023/05/11 05:08:26,0.22,5929,8450,5.9621e-02,46.049,20,8,20,20,0.000,-2.5665e-13,-1.2151e-13,-1.3075e-13,-7.4819e-14,2.2924e-14,3.3054e-12,24.00,25.00,64.50,-1.95e02,-1.75e02,64.50,0.00,64.50,64.50,2023/05/11 04:12:01,2023/05/11 05:08:52,113,3.64891e-08,0.000,0,63,3.53248e-08,1.38571e-09,0,60,1.18932e-02,7.15448e-08,0,60,4.1892e-03,3.4126e-08,0,60,4.8408e-05,1.9459e-09,0,60,4.5964e-06,5.6192e-10,0,60,6.1359e-08,1.0246e-09,0,60,1.1981e-02,7.1072e-08,0,63,4.2123e-03,3.6580e-08,0,63,4.9061e-05,1.9961e-09,0,63,4.6470e-06,5.4567e-10,0,63,6.0700e-08,9.0842e-10,0,63,-7.3386,0.0010,0,60,-5.4719,0.0014,0,60,-13.3007,0.0096,0,60,-10.8934,0.0739,0,60,8.8210,4.6150,0,60,-10.5100,0.0010,0,60,-11.3294,0.0014,0,60,-0.3990,0.0101,0,60,0.0207,0.0754,0,60,27.7874,4.7013,0,60,
C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19568 ETH-3.txt,ETH-3,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/10 18:17:57,2023/05/11 06:30:45,484,10,1.4282e-07,2.950927E-10,CF,23.926,5.962e-02,1,5.6999e-02,15616, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.3409e-08,1.0638e-07,5.6434e-08,5.6528e-08,5.6494e-08,5.6351e-08,0.96,2023/05/11 06:29:59,0.25,6167,8448,5.9621e-02,46.046,20,8,20,20,0.000,-2.5660e-13,-1.2156e-13,-1.3083e-13,-7.3800e-14,2.5803e-14,3.5110e-12,24.00,24.00,64.50,-1.95e02,-1.66e02,64.50,0.00,64.50,64.50,2023/05/11 05:33:09,2023/05/11 06:12:11,78,3.37564e-08,0.000,0,63,3.27630e-08,1.25234e-09,0,60,1.20341e-02,8.91920e-08,0,60,4.2625e-03,2.8949e-08,0,60,4.9844e-05,7.5752e-10,0,60,4.7489e-06,6.1480e-10,0,60,3.7650e-08,1.0538e-09,0,60,1.1981e-02,8.2032e-08,0,63,4.2123e-03,2.7278e-08,0,63,4.9055e-05,1.0834e-09,0,63,4.6386e-06,5.2052e-10,0,63,3.6500e-08,9.8148e-10,0,63,4.4372,0.0010,0,60,11.9157,0.0023,0,60,16.0977,0.0150,0,60,23.7862,0.0754,0,60,29.7211,10.1240,0,60,1.4206,0.0010,0,60,5.9483,0.0022,0,60,-0.2507,0.0134,0,60,-0.1827,0.0727,0,60,1.2796,9.8448,0,60,
C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19569 AU_LMW1_307_34.txt,AU_LMW1_307_34,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/10 18:17:57,2023/05/11 08:00:17,726,11,1.3272e-07,1.82811E-10,CF,22.003,5.700e-02,1,5.6999e-02,15616, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,4.1943e-08,1.0632e-07,5.1862e-08,5.2354e-08,5.2303e-08,5.2218e-08,0.96,2023/05/11 07:59:32,0.16,7361,8448,5.6999e-02,46.049,20,8,20,20,0.000,-2.5680e-13,-1.2176e-13,-1.3106e-13,-7.3680e-14,2.5499e-14,3.6192e-12,24.00,24.00,64.50,-1.95e02,-1.61e02,64.50,0.00,64.50,64.50,2023/05/11 06:54:50,2023/05/11 07:33:44,78,3.16320e-08,0.000,0,63,3.07030e-08,1.14802e-09,0,60,1.20747e-02,9.15481e-08,0,60,4.2522e-03,2.9451e-08,0,60,4.9916e-05,1.8178e-09,0,60,4.7421e-06,8.8154e-10,0,60,6.5520e-08,1.4725e-09,0,60,1.1981e-02,8.0558e-08,0,63,4.2125e-03,2.6122e-08,0,63,4.9079e-05,1.8646e-09,0,63,4.6543e-06,9.2957e-10,0,63,6.2911e-08,1.3504e-09,0,63,7.7937,0.0012,0,60,9.4231,0.0019,0,60,17.0682,0.0153,0,60,18.8817,0.0753,0,60,41.3875,5.1264,0,60,5.0788,0.0013,0,60,3.4605,0.0018,0,60,-0.3062,0.0153,0,60,-0.0523,0.0731,0,60,13.9465,4.9906,0,60,
