Batch,20230510 clumped PREC KDB NTA,Collected on,5/10/2023 18:17,Analysis Instrument,PS019,Acquisition Software,,Stable 1.71.5,Reanalyzed  on,5/10/2023 19:16,Reanalysis Instrument,PS019,Reanalysis Software,Stable 1.71.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19572 ETH-2.txt,ETH-2,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,5/10/2023 18:17,5/11/2023 12:05,454,14,1.40E-07,3.09E-10,CF,23.193,5.83E-02,1,5.57E-02,15584, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.96E-08,1.06E-07,5.52E-08,5.55E-08,5.54E-08,5.53E-08,0.96,5/11/2023 12:04,0.19,6901,8448,5.83E-02,46.046,20,0,-2.55E-13,-1.21E-13,-1.30E-13,-7.24E-14,2.81E-14,3.60E-12,24,24,64.5,3.32E-08,3.23E-08,1.19E-02,4.19E-03,4.84E-05,4.59E-06,4.00E-08,1.20E-02,4.21E-03,4.91E-05,4.64E-06,4.13E-08,-7.1626,-5.2685,-13.1616,-10.588,-54.6047,-10.3297,0.0009,0,60,-11.1274,0.0013,0,60,-0.6419,-0.0795,-37.3999
C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19573 ETH-1.txt,ETH-1,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,5/10/2023 18:17,5/11/2023 13:27,404,15,1.14E-07,2.82E-10,CF,18.707,5.96E-02,1,5.70E-02,15616, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.88E-08,1.06E-07,4.33E-08,4.34E-08,4.34E-08,4.33E-08,0.96,5/11/2023 13:26,0.2,7853,8448,5.96E-02,46.044,20,0,-2.56E-13,-1.21E-13,-1.31E-13,-7.40E-14,2.50E-14,3.50E-12,23,23,64.5,2.69E-08,2.61E-08,1.20E-02,4.26E-03,4.98E-05,4.76E-06,7.38E-08,1.20E-02,4.21E-03,4.91E-05,4.66E-06,7.09E-08,4.6733,11.2992,15.3322,22.6499,44.1169,1.6931,0.0012,0,60,5.3343,0.002,0,60,-0.6465,-0.0744,16.2416
C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19574 AU_KAR1_1437_31.txt,AU_KAR1_1437_31,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,5/10/2023 18:17,5/11/2023 14:49,694,16,1.55E-07,2.23E-10,CF,25.635,6.38E-02,1,5.83E-02,15680, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.82E-08,1.06E-07,6.19E-08,6.20E-08,6.20E-08,6.19E-08,0.96,5/11/2023 14:48,0.19,6320,8446,6.38E-02,46.046,20,0,-2.54E-13,-1.20E-13,-1.30E-13,-7.19E-14,2.80E-14,3.53E-12,24,25,64.5,3.66E-08,3.56E-08,1.20E-02,4.24E-03,4.96E-05,4.72E-06,5.98E-08,1.20E-02,4.21E-03,4.91E-05,4.65E-06,5.82E-08,4.4249,7.6791,11.8068,15.3467,28.9633,1.5537,0.0012,0,60,1.7323,0.0018,0,60,-0.3408,-0.0694,8.8476
C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19575 AU_GR8_91_24.txt,AU_GR8_91_24,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,5/10/2023 18:17,5/11/2023 16:11,756,17,5.07E-08,6.70E-11,CF,8.301,5.96E-02,0,5.57E-02,15616, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.74E-08,1.06E-07,4.86E-08,4.64E-08,4.64E-08,4.63E-08,0.96,5/11/2023 16:11,0.26,7470,8444,5.96E-02,46.044,20,0,-2.53E-13,-1.20E-13,-1.29E-13,-7.18E-14,2.77E-14,3.47E-12,33,32,64.5,2.18E-08,2.04E-08,1.20E-02,4.24E-03,4.95E-05,4.81E-06,2.88E-07,1.20E-02,4.21E-03,4.92E-05,4.75E-06,2.63E-07,1.5773,5.8897,7.2823,13.567,79.537,-1.415,0.0012,0,60,-0.0421,0.0029,0,60,-0.1479,1.7324,65.3515
C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19577 ETH-3.txt,ETH-3,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,5/10/2023 18:17,5/11/2023 18:55,442,19,1.34E-07,3.02E-10,CF,21.789,5.96E-02,1,5.70E-02,15616, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.64E-08,1.06E-07,5.21E-08,5.24E-08,5.23E-08,5.22E-08,0.96,5/11/2023 18:54,0.21,6796,8450,5.96E-02,46.046,20,0,-2.49E-13,-1.18E-13,-1.27E-13,-7.20E-14,2.58E-14,3.28E-12,23,24,64.5,3.16E-08,3.07E-08,1.20E-02,4.26E-03,4.98E-05,4.74E-06,-1.47E-09,1.20E-02,4.21E-03,4.90E-05,4.63E-06,-7.08E-10,4.4348,11.8534,16.0051,23.7162,23.4334,1.4202,0.001,0,60,5.8864,0.0023,0,60,-0.2789,-0.128,-4.7109
C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19578 IAEA-C2.txt,IAEA-C2,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,5/10/2023 18:17,5/11/2023 20:17,493,20,1.57E-07,3.18E-10,CF,25.879,5.96E-02,1,5.70E-02,15616, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.59E-08,1.06E-07,6.26E-08,6.26E-08,6.26E-08,6.25E-08,0.96,5/11/2023 20:16,0.21,6074,8448,5.96E-02,46.048,20,0,-2.52E-13,-1.19E-13,-1.29E-13,-7.13E-14,2.83E-14,3.51E-12,25,25,64.5,3.68E-08,3.58E-08,1.19E-02,4.23E-03,4.90E-05,4.68E-06,3.44E-08,1.20E-02,4.21E-03,4.91E-05,4.64E-06,3.50E-08,-4.8929,4.397,-1.0138,8.6229,-22.6641,-8.2495,0.0009,0,60,-1.5135,0.0018,0,60,-0.2776,-0.1888,-25.9975
C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19579 AU_KAR1_1352_95.txt,AU_KAR1_1352_95,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,5/10/2023 18:17,5/11/2023 21:48,725,21,4.11E-09,5.67E-12,CF,0.091,5.70E-02,0,5.70E-02,15648, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; SampleReady; (BeamTooBig_RunningMisBalanced) ;,4.22E-08,1.06E-07,3.95E-09,5.24E-08,5.23E-08,5.22E-08,0.96,5/11/2023 21:47,-90.55,8399,8447,5.70E-02,46.041,20,0,-2.53E-13,-1.20E-13,-1.29E-13,-7.22E-14,2.56E-14,3.29E-12,24,32,64.5,2.06E-08,2.46E-09,1.20E-02,4.22E-03,4.90E-05,4.63E-06,-4.94E-08,1.20E-02,4.21E-03,4.91E-05,4.64E-06,3.45E-08,-1.9259,1.2343,-0.6376,-2.3432,-1933.5462,-4.9823,0.0119,0,60,-4.6674,0.0317,0,60,0.1343,-4.807,-1934.7719
C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19581 AU_MANYA6_677_23.txt,AU_MANYA6_677_23,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,5/10/2023 18:17,5/12/2023 0:31,627,23,1.80E-07,2.87E-10,CF,29.083,5.96E-02,1,5.83E-02,15616, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,4.11E-08,1.06E-07,7.33E-08,7.28E-08,7.27E-08,7.26E-08,0.96,5/12/2023 0:30,0.2,6032,8446,5.96E-02,46.044,20,0,-2.53E-13,-1.20E-13,-1.29E-13,-7.18E-14,2.56E-14,3.39E-12,25,26,64.5,4.20E-08,4.07E-08,1.20E-02,4.23E-03,4.93E-05,4.68E-06,4.16E-08,1.20E-02,4.21E-03,4.90E-05,4.64E-06,4.09E-08,1.8791,4.4259,5.8492,8.8447,16.4402,-1.0432,0.0011,0,60,-1.4995,0.002,0,60,-0.4487,-0.0265,5.6384
C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19582 ETH-4.txt,ETH-4,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,5/10/2023 18:17,5/12/2023 1:53,507,24,1.59E-07,3.14E-10,CF,25.97,6.10E-02,1,5.83E-02,15616, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,4.03E-08,1.07E-07,6.37E-08,6.38E-08,6.38E-08,6.37E-08,0.96,5/12/2023 1:52,0.22,6425,8446,6.10E-02,46.046,20,0,-2.54E-13,-7.70E-14,3.29E-13,3.94E-11,1.12E-10,9.34E-09,37,36,64.5,2.81E-08,2.70E-08,1.18E-02,4.17E-03,4.81E-05,4.57E-06,4.65E-08,1.20E-02,4.21E-03,4.90E-05,4.65E-06,4.77E-08,-10.4384,-7.8308,-18.834,-15.6598,-26.0911,-13.7269,0.176,0,60,-13.6701,0.1297,0,60,-0.4635,-0.0614,0.2108
C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19583 ETH-2.txt,ETH-2,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,5/10/2023 18:17,5/12/2023 3:15,460,25,1.51E-07,3.27E-10,CF,24.994,6.10E-02,1,5.70E-02,15616, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.95E-08,1.06E-07,5.97E-08,5.99E-08,5.98E-08,5.97E-08,0.96,5/12/2023 3:14,0.2,6596,8446,6.10E-02,46.048,20,0,-2.54E-13,-1.20E-13,-1.30E-13,-7.20E-14,2.78E-14,3.53E-12,24,25,64.5,3.54E-08,3.43E-08,1.19E-02,4.19E-03,4.84E-05,4.60E-06,7.14E-08,1.20E-02,4.21E-03,4.91E-05,4.65E-06,7.07E-08,-7.1755,-5.2845,-13.1752,-10.5738,6.7677,-10.3429,0.0011,0,60,-11.1433,0.0018,0,60,-0.6264,-0.0331,25.1364
C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19584 AU_GR7_98_63.txt,AU_GR7_98_63,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,5/10/2023 18:17,5/12/2023 4:38,634,26,2.47E-08,3.90E-11,CF,2.441,6.10E-02,0,5.45E-02,15648, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; SampleReady; (BeamTooBig_RunningMisBalanced) ;,3.87E-08,1.07E-07,2.37E-08,6.38E-08,6.38E-08,6.37E-08,0.96,5/12/2023 4:37,-39.73,8399,8446,6.10E-02,46.046,20,0,-2.54E-13,-1.20E-13,-1.30E-13,-7.32E-14,2.52E-14,3.35E-12,29,31,64.5,1.92E-08,1.17E-08,1.20E-02,4.25E-03,4.96E-05,4.71E-06,2.90E-08,1.20E-02,4.21E-03,4.91E-05,4.64E-06,3.47E-08,1.8204,8.6583,10.1305,15.8584,-275.8375,-1.252,0.0021,0,60,2.7125,0.0058,0,60,-0.2795,-1.5071,-289.4156
C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19585 AU_GR7_211_73.txt,AU_GR7_211_73,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,5/10/2023 18:17,5/12/2023 5:59,814,27,1.88E-07,2.31E-10,CF,30.426,6.10E-02,1,5.83E-02,15648, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.82E-08,1.07E-07,7.69E-08,7.68E-08,7.67E-08,7.65E-08,0.96,5/12/2023 5:59,0.22,5583,8448,6.10E-02,46.048,20,0,-2.55E-13,-1.20E-13,-1.30E-13,-7.11E-14,2.91E-14,3.59E-12,26,26,63.66,4.40E-08,4.28E-08,1.20E-02,4.25E-03,4.96E-05,4.73E-06,6.02E-08,1.20E-02,4.21E-03,4.91E-05,4.65E-06,5.88E-08,2.3263,8.5783,10.4586,17.1285,25.1982,-0.7109,0.0011,0,60,2.6318,0.0023,0,60,-0.3968,-0.1,5.6274
C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19587 IAEA-C2.txt,IAEA-C2,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,5/10/2023 18:17,5/12/2023 8:43,427,29,1.33E-07,3.12E-10,CF,21.606,6.10E-02,1,5.83E-02,15648, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.69E-08,1.07E-07,5.20E-08,5.23E-08,5.22E-08,5.22E-08,0.96,5/12/2023 8:43,0.18,6860,8448,6.10E-02,46.044,20,0,-2.54E-13,-1.20E-13,-1.30E-13,-7.37E-14,2.41E-14,3.21E-12,24,24,63.66,3.15E-08,3.06E-08,1.19E-02,4.23E-03,4.90E-05,4.69E-06,7.54E-08,1.20E-02,4.21E-03,4.91E-05,4.65E-06,7.48E-08,-4.8924,4.3989,-0.931,8.8906,3.7672,-8.2489,0.001,0,60,-1.5116,0.0016,0,60,-0.1972,0.0727,0.3402
C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19588 ETH-4.txt,ETH-4,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,5/10/2023 18:17,5/12/2023 10:05,506,30,1.66E-07,3.28E-10,CF,27.191,6.10E-02,1,5.96E-02,15680, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.64E-08,1.07E-07,6.68E-08,6.68E-08,6.68E-08,6.66E-08,0.96,5/12/2023 10:05,0.3,5893,8446,6.10E-02,46.046,20,0,-2.53E-13,-1.20E-13,-1.29E-13,-7.13E-14,2.88E-14,3.55E-12,25,25,63.66,3.89E-08,3.79E-08,1.19E-02,4.19E-03,4.84E-05,4.59E-06,4.28E-08,1.20E-02,4.21E-03,4.91E-05,4.64E-06,4.39E-08,-7.3416,-5.4563,-13.3435,-11.053,-25.263,-10.5137,0.0009,0,60,-11.3138,0.0016,0,60,-0.4548,-0.1722,-6.9651
