Session,Na,Nu,d13Cwg_VPDB,d18Owg_VSMOW,r_d13C,r_d18O,r_D47,a ± SE,1e3 x b ± SE,c ± SE
20171216,6,10,-3.640,25.457,0.0244,0.0562,0.0000,0.876 ± 0.070,1.542 ± 0.977,-0.702 ± 0.028
20171229,18,27,-3.621,25.432,0.0157,0.0447,0.0000,1.000 ± 0.037,-0.264 ± 0.431,-0.748 ± 0.015
20180615,21,25,-3.027,25.064,0.0293,0.0981,0.0000,0.938 ± 0.032,0.041 ± 0.360,-0.988 ± 0.013
20180618,21,25,-3.045,24.980,0.0259,0.1400,0.0000,0.936 ± 0.034,-0.334 ± 0.412,-0.984 ± 0.014
20180628,4,5,-3.011,25.041,0.0000,0.0000,0.0000,0.999 ± 0.080,0.026 ± 0.897,-1.003 ± 0.032
20220627,19,25,-2.680,25.974,0.0098,0.0246,0.0000,0.984 ± 0.032,0.218 ± 0.378,-0.881 ± 0.015
20220630,23,25,-2.675,25.954,0.0084,0.0267,0.0000,0.961 ± 0.029,-0.024 ± 0.351,-0.872 ± 0.013
20230210,23,26,-2.656,26.113,0.0874,0.0331,0.0000,0.942 ± 0.030,0.449 ± 0.385,-0.865 ± 0.014
20230214,18,19,-2.655,26.101,0.0132,0.0284,0.0000,0.962 ± 0.033,0.180 ± 0.417,-0.876 ± 0.016
20230510,20,20,-2.626,25.936,0.0078,0.0230,0.0000,0.977 ± 0.031,0.018 ± 0.412,-0.845 ± 0.015
20230515,22,23,-2.628,25.952,0.0115,0.0269,0.0000,0.977 ± 0.031,0.361 ± 0.369,-0.851 ± 0.015
20230518,23,27,-2.633,25.952,0.0088,0.0206,0.0000,0.952 ± 0.029,0.252 ± 0.360,-0.836 ± 0.014
20231024,22,23,-2.570,26.089,0.0204,0.0568,0.0000,0.974 ± 0.032,0.032 ± 0.447,-0.748 ± 0.015
20231027,23,27,-2.557,26.084,0.0154,0.0256,0.0000,0.941 ± 0.031,0.473 ± 0.416,-0.749 ± 0.015
20231030,45,48,-2.560,26.107,0.0094,0.0177,0.0000,0.941 ± 0.021,0.273 ± 0.302,-0.731 ± 0.010
20231220,23,27,-2.505,26.209,0.0213,0.0624,0.0000,0.993 ± 0.030,-0.091 ± 0.369,-0.708 ± 0.015