section_base,section_top,section_thickness,CompositeHeight,RefSec_CompositeHeight,Formation,Min,OrigMin,GrainSize,Dunham,Facies,LFA,More,Features,Notes,Section,Peritidal ,Storm,Silt,Msfall T-R cycrles,Medium T-R cycrles,Large T-R cycrles,BEDDING,LAMIE,FEATURES,LITHOLOGY,Quartz Sand,Anhydrite Laths,Pisoids,Irregular Lamie,Irregular Stroms,Fenestrae,DoMfal Stroms,Msfall Stroms/Tall Stroms,Ooids,Xbedded Grainstones,Conophyton Stroms,Medium Stroms,Large DoMfal Stroms,Edgewise Conglomerate,Crinkly laminites 
248.3,249,0.7,1049.83,1049.83,Buah,DL,DL,f,p,W,Int,,,,MD2,,,,t,non,r,non,non,non,non,non,al,non,non,non,non,non,non,non,non,non,non,non,non,non
249,250.8,1.8,1051.63,1051.63,Buah,DL,DL,mi,m,Mfal,Int,,,,MD2,,,,r,non,r,non,non,non,non,non,non,non,non,non,vg,non,non,non,non,non,non,non,non,non
250.8,252.4,1.6,1053.23,1053.23,Buah,DL,DL,vf,bo,BMsstm,Int,,,,MD2,,,,t,non,r,non,Msstm,non,non,non,non,non,non,non,non,non,Msstm,non,non,non,non,non,non,non
252.4,255.2,2.8,1056.03,1056.03,Buah,DL,DL,cov,cov,cov,cov,,,,MD2,,,,r,non,r,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
255.2,256.8,1.6,1057.63,1057.63,Buah,DL,DL,mi,m,W,Int,,,,MD2,,,,t,non,r,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
256.8,259,2.2,1059.83,1059.83,Buah,DL,DL,vf,bo,BMsstm,Int,,,,MD2,,,,t,non,r,non,Msstm,non,non,non,non,non,non,non,non,non,Msstm,non,non,non,non,non,non,non
259,259.6,0.6,1060.43,1060.43,Buah,DL,DL,mi,m,W,Int,,,,MD2,,,,r,non,r,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
259.6,260.3,0.7,1061.13,1061.13,Buah,DL,DL,vf,w,Mfal,Int,,,,MD2,,,,r,non,r,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
260.3,261.6,1.3,1062.43,1062.43,Buah,DL,DL,cov,cov,cov,cov,,,,MD2,,,,r,non,r,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
261.6,262,0.4,1062.83,1062.83,Buah,DL,DL,f,g,Goo,Int,,,,MD2,,,,t,non,r,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
262,264.4,2.4,1065.23,1065.23,Buah,DL,DL,cov,cov,cov,cov,,,,MD2,,,,r,non,r,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
264.4,264.8,0.4,1065.63,1065.63,Buah,DL,DL,mi,m,Mfal,Int,,,,MD2,,,,t,non,r,non,non,non,non,non,non,non,non,non,vg,non,non,non,non,non,non,non,non,non
264.8,265.4,0.6,1066.23,1066.23,Buah,DL,DL,cov,cov,cov,cov,,,,MD2,,,,r,non,r,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
265.4,269,3.6,1069.83,1069.83,Buah,DL,DL,vf,bo,BMsstm,Int,,,,MD2,,,,t,non,r,non,Msstm,non,non,non,non,non,non,non,non,non,Msstm,non,non,non,non,non,non,non
269,271,2,1071.83,1071.83,Buah,DL,DL,vf,w,Mfal,Int,,,,MD2,,,,r,non,r,non,non,non,non,non,al,non,non,non,vg,non,non,non,non,non,non,non,non,non
271,273,2,1073.83,1073.83,Buah,DL,DL,vf,w,Mfal,Int,,,,MD2,,,,r,non,r,non,non,non,non,non,non,non,non,non,vg,non,non,non,non,non,non,non,non,non
273,277,4,1077.83,1077.83,Buah,DL,DL,cov,cov,cov,cov,,,,MD2,,,,r,non,r,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
277,278,1,1078.83,1078.83,Buah,DL,DL,vf,bo,B,Mss,,,,MD2,,,,t,non,r,non,Msstm,non,non,non,non,non,non,non,vg,non,Msstm,non,non,non,non,non,non,non
278,279,1,1079.83,1079.83,Buah,DL,DL,vf,w,W,Int,,,,MD2,,,,r,non,r,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
279,279.4,0.4,1080.23,1080.23,Buah,DL,DL,f,g,Gmaa,Int,,,,MD2,,,,t,non,r,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
279.4,281,1.6,1081.83,1081.83,Buah,DL,DL,f,ss,Ss,Sup,,,,MD2,,,,t,non,r,non,non,non,non,sandstone,non,non,non,non,non,non,non,non,non,non,non,non,non,non
281,281.2,0.2,1082.03,1082.03,Buah,DL,DL,cov,cov,cov,cov,,,,MD2,,,,r,non,r,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
281.2,282,0.8,1082.83,1082.83,Buah,DL,DL,vf,bo,Bil,Sup,,,,MD2,,,,r,non,r,non,il,non,non,non,non,non,il,non,non,non,non,non,non,non,non,non,non,non
282,282.1,0.1,1082.93,1082.93,Buah,DL,DL,mi,m,Mfal,Int,,,,MD2,,,,r,non,r,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
282.1,284.5,2.4,1085.33,1085.33,Buah,DL,DL,cov,cov,cov,cov,,,,MD2,,,,r,non,r,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
284.5,285.4,0.9,1086.23,1086.23,Buah,DL,DL,m,ss,Ss,Sup,,,,MD2,,,,t,non,r,non,non,non,non,sandstone,non,non,non,non,non,non,non,non,non,non,non,non,non,non
285.4,291.1,5.7,1091.93,1091.93,Buah,DL,DL,cov,cov,cov,cov,,,,MD2,,,,r,non,r,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
291.1,295.8,4.7,1096.63,1096.63,Buah,DL,DL,m,ss,Ss,Sup,,,,MD2,,,,t,non,r,non,non,non,non,sandstone,non,non,non,non,non,non,non,non,non,non,non,non,non,non
295.8,298,2.2,1098.83,1098.83,Buah,DL,DL,vf,bo,Bilstm,Int,,,,MD2,,,,r,non,r,non,ilstm,non,non,non,non,non,non,ilstm,non,non,non,non,non,non,non,non,non,non
298,298.9,0.9,1099.73,1099.73,Buah,DL,DL,f,ss,Ss,Sup,,,,MD2,,,,r,non,r,non,non,non,non,sandstone,non,non,non,non,non,non,non,non,non,non,non,non,non,non
298.9,299.2,0.3,1100.03,1100.03,Buah,DL,DL,vf,bo,Bil,Sup,,,,MD2,,,,r,non,r,non,il,non,non,non,non,non,il,non,non,non,non,non,non,non,non,non,non,non
299.2,300.8,1.6,1101.63,1101.63,Buah,DL,DL,f,ss,Ss,Sup,,,,MD2,,,,r,non,r,non,non,non,non,sandstone,non,non,non,non,non,non,non,non,non,non,non,non,non,non
300.8,301.8,1,1102.63,1102.63,Buah,DL,DL,vf,bo,Bil,Sup,,,,MD2,,,,t,non,r,non,il,non,non,non,non,non,il,non,non,non,non,non,non,non,non,non,non,non
301.8,303.6,1.8,1104.43,1104.43,Buah,DL,DL,mi,m,Mfalal,Int,,,,MD2,,,,t,non,r,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
303.6,305.8,2.2,1106.63,1106.63,Buah,DL,DL,mi,bo,BMsstm,Int,,,,MD2,,,,t,non,r,non,Msstm,non,non,non,non,non,non,non,non,non,Msstm,non,non,non,non,non,non,non
305.8,306.1,0.3,1106.93,1106.93,Buah,DL,DL,mi,m,W,Int,,,,MD2,,,,r,non,r,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
306.1,306.5,0.4,1107.33,1107.33,Buah,DL,DL,cov,cov,cov,cov,,,,MD2,,,,r,non,r,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
306.5,306.7,0.2,1107.53,1107.53,Buah,DL,DL,f,ss,Ss,Sup,,,,MD2,,,,r,non,r,non,non,non,non,sandstone,non,non,non,non,non,non,non,non,non,non,non,non,non,non
306.7,311,4.3,1111.83,1111.83,Buah,DL,DL,cov,cov,cov,cov,,,,MD2,,,,r,non,r,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
311,311.4,0.4,1112.23,1112.23,Buah,DL,DL,vf,w,W,Int,,,,MD2,,,,t,non,r,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
311.4,312,0.6,1112.83,1112.83,Buah,DL,DL,vf,bo,BMsstm,Int,,,,MD2,,,,t,non,r,non,Msstm,non,non,non,non,non,non,non,non,non,Msstm,non,non,non,non,non,non,non
312,313,1,1113.83,1113.83,Buah,DL,DL,vf,w,W,Int,,,,MD2,,,,r,non,r,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
313,316.4,3.4,1117.23,1117.23,Buah,DL,DL,cov,cov,cov,cov,,,,MD2,,,,r,non,r,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
316.4,317.4,1,1118.23,1118.23,Buah,DL,DL,vf,w,W,Int,,,,MD2,,,,t,non,r,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
317.4,318,0.6,1118.83,1118.83,Buah,DL,DL,vf,bo,Bil,Sup,,,,MD2,,,,t,non,r,non,il,non,non,non,non,non,il,non,non,non,non,non,non,non,non,non,non,non
318,318.2,0.2,1119.03,1119.03,Buah,DL,DL,vf,w,W,Int,,,,MD2,,,,r,non,r,non,ml,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
318.2,336,17.8,1136.83,1136.83,Buah,DL,DL,cov,cov,cov,cov,,,,MD2,,,,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
336,337,1,1137.83,1137.83,Buah,DL,DL,m,ss,Ss,Sup,,,,MD2,,,,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
337,337.8,0.8,1138.63,1138.63,Buah,DL,DL,cov,cov,cov,cov,,,,MD2,,,,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
337.8,338,0.2,1138.83,1138.83,Buah,DL,DL,vf,bo,Bil,Int,,,,MD2,,,,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non
234.4,242.8,8.4,1147.23,1147.23,Buah,DL,DL,cov,cov,cov,cov,,,,ST1,,,,r,non,r,non,non,non,DOL,non,non,non,non,non,non,non,non,non,non,non,non,non,non,
242.8,244.5,1.7,1148.93,1148.93,Buah,DL,DL,m,ss,Ss,Supratidal,,,,ST1,,,,t,non,t,tb,non,non,sandstone,sandstone,non,non,non,non,non,non,non,non,non,non,non,non,non,
244.5,245,0.5,1149.43,1149.43,Buah,DL,DL,cov,cov,cov,cov,,,,ST1,,,,r,non,t,non,non,non,DOL,non,non,non,non,non,non,non,non,non,non,non,non,non,non,
245,245.5,0.5,1149.93,1149.93,Buah,DL,DL,mi,w,Mfalal,Intertidal,,,,ST1,,,,r,non,t,non,non,al,DOL,non,al,non,non,non,non,non,non,non,non,non,non,non,non,
245.5,246.6,1.1,1151.03,1151.03,Buah,DL,DL,vf,bo,Bmstm,Intertidal,,,,ST1,,,,t,non,t,non,dmstm,non,DOL,non,non,non,non,non,non,dmstm,non,non,non,non,non,non,non,
246.6,248,1.4,1152.43,1152.43,Buah,DL,DL,f,bo,Bmstm,Intertidal,,,,ST1,,,,t,non,t,non,dmstm,non,DOL,non,non,non,non,non,non,dmstm,non,non,non,non,non,non,non,
248,248.2,0.2,1152.63,1152.63,Buah,DL,DL,f,bo,Bmstm,Intertidal,,,,ST1,,,,r,non,t,non,dmstm,non,DOL,non,non,non,non,non,non,dmstm,non,non,non,non,non,non,non,
248.2,248.4,0.2,1152.83,1152.83,Buah,DL,DL,cov,cov,cov,cov,,,,ST1,,,,t,non,t,non,non,non,DOL,non,non,non,non,non,non,non,non,non,non,non,non,non,non,
248.4,252.2,3.8,1156.63,1156.63,Buah,DL,DL,f,p,Gmaa,Intertidal,,,,ST1,,,,t,non,t,non,cl,non,DOL,non,non,non,non,non,non,non,non,non,non,non,non,non,non,
252.2,252.8,0.6,1157.23,1157.23,Buah,DL,DL,f,bo,Bil,Supratidal,,,,ST1,,,,r,non,t,non,il,non,DOL,non,non,non,il,non,non,non,non,non,non,non,non,non,non,
252.8,253,0.2,1157.43,1157.43,Buah,DL,DL,cov,cov,cov,cov,,,,ST1,,,,r,non,t,non,non,non,DOL,non,non,non,non,non,non,non,non,non,non,non,non,non,non,
253,255,2,1159.43,1159.43,Buah,DL,DL,c,r,Tep,Supratidal,,,,ST1,,,,t,non,t,non,non,breccia,DOL,non,non,non,non,non,non,non,non,non,non,non,non,non,non,
255,255.8,0.8,1160.23,1160.23,Buah,DL,DL,f,g,Gmaa,Intertidal,,,,ST1,,,,t,non,t,non,fl,non,DOL,non,non,non,non,non,non,non,non,non,non,non,non,non,non,
255.8,256,0.2,1160.43,1160.43,Buah,DL,DL,vf,bo,Bmstm,Intertidal,,,,ST1,,,,t,non,t,non,dmstm,non,DOL,non,non,non,non,non,non,dmstm,non,non,non,non,non,non,non,
256,258,2,1162.43,1162.43,Buah,DL,DL,vf,bo,Bmstm,Intertidal,,,,ST1,,,,t,non,t,non,dmstm,non,DOL,non,non,non,non,non,non,dmstm,non,non,non,non,non,non,non,
258,258.8,0.8,1163.23,1163.23,Buah,DL,DL,mi,bo,BMsstm,Intertidal,,,,ST1,,,,t,non,t,non,Msstm,non,DOL,non,non,non,non,non,non,non,Msstm,non,non,non,non,non,non,
258.8,260,1.2,1164.43,1164.43,Buah,DL,DL,vf,g,Icg,Intertidal,,,,ST1,,,,t,non,t,non,non,rip,DOL,non,non,non,non,non,non,non,non,non,Rip,non,non,non,non,
260,261.6,1.6,1166.03,1166.03,Buah,DL,DL,mi,bo,Bil,Supratidal,,,,ST1,,,,r,non,t,non,il,non,DOL,non,non,non,il,non,non,non,non,non,non,non,non,non,non,
261.6,262.5,0.9,1166.93,1166.93,Buah,DL,DL,vf,g,Icg,Intertidal,,,,ST1,,,,t,non,t,tb,ml,non,DOL,non,non,non,non,non,non,non,non,non,non,non,non,non,non,
262.5,263.1,0.6,1167.53,1167.53,Buah,DL,DL,c,r,Tep,Supratidal,,,,ST1,,,,t,non,t,non,non,breccia,DOL,non,non,non,non,non,non,non,non,non,non,non,non,non,non,
263.1,264.7,1.6,1169.13,1169.13,Buah,DL,DL,vf,g,Icg,Intertidal,,,,ST1,,,,t,non,t,tb,non,rip,DOL,non,non,non,non,non,non,non,non,non,Rip,non,non,non,non,
264.7,266.5,1.8,1170.93,1170.93,Buah,DL,DL,cov,cov,cov,cov,,,,ST1,,,,r,non,t,non,non,non,DOL,non,non,non,non,non,non,non,non,non,non,non,non,non,non,
266.5,269,2.5,1173.43,1173.43,Buah,DL,DL,vf,bo,Bisstm,Lagoon,,,,ST1,,,,t,non,t,non,isstm,non,DOL,non,non,non,non,non,non,non,isstm,non,non,non,non,non,non,
269,272,3,1176.43,1176.43,Buah,DL,DL,f,bo,Bconstm,Lagoon,,,,ST1,,,,t,non,t,non,constm,non,DOL,non,non,non,non,non,non,non,non,non,non,constm,non,non,non,
272,275,3,1179.43,1179.43,Buah,DL,DL,cov,cov,cov,cov,,,,ST1,,,,r,non,t,non,non,non,DOL,non,non,non,non,non,non,non,non,non,non,non,non,non,non,
275,276.2,1.2,1180.63,1180.63,Buah,DL,DL,vf,bo,Bisstm,Lagoon,,,,ST1,,,,t,non,t,non,isstm,non,DOL,non,non,non,non,non,non,non,isstm,non,non,non,non,non,non,
276.2,278.6,2.4,1183.03,1183.03,Buah,DL,DL,f,bo,Bconstm,Lagoon,,,,ST1,,,,t,non,t,non,constm,non,DOL,non,non,non,non,non,non,non,non,non,non,constm,non,non,non,
278.6,279,0.4,1183.43,1183.43,Buah,DL,DL,f,w,W,Lagoon,,,,ST1,,,,t,non,r,non,cl,non,DOL,non,non,non,non,non,non,non,non,non,non,non,non,non,non,
279,280,1,1184.43,1184.43,Buah,DL,DL,f,p,Gmaa,Shoal,,,,ST1,,,,r,non,r,non,non,non,DOL,non,non,non,non,non,non,non,non,non,non,non,non,non,non,
280,281.8,1.8,1186.23,1186.23,Buah,DL,DL,f,bo,Bcrl,Lagoon,,,,ST1,,,,r,non,r,tb,non,non,DOL,non,non,non,non,non,non,non,non,non,non,non,non,non,non,
281.8,287.4,5.6,1191.83,1191.83,Buah,DL,DL,f,p,Gmaa,Shoal,,,,ST1,,,,t,non,r,non,non,non,DOL,non,non,non,non,non,non,non,non,non,Rip,non,non,non,non,
287.4,288,0.6,1192.43,1192.43,Buah,DL,DL,c,r,Icg,Shoal,,,,ST1,,,,r,non,r,non,non,breccia,DOL,non,non,non,non,non,non,non,non,non,non,non,non,non,non,
288,288.5,0.5,1192.93,1192.93,Buah,DL,DL,cov,cov,cov,cov,,,,ST1,,,,r,non,r,non,non,non,DOL,non,non,non,non,non,non,non,non,non,non,non,non,non,non,
288.5,290.2,1.7,1194.63,1194.63,Buah,DL,DL,f,g,Goo,Shoal,,,,ST1,,,,t,non,r,non,non,oo,DOL,non,non,non,non,non,non,non,non,oo,non,non,non,non,non,
290.2,291.6,1.4,1196.03,1196.03,Buah,DL,DL,f,g,Gmaa,Shoal,,,,ST1,,,,t,non,r,tb,non,sparse oo,DOL,non,non,non,non,non,non,non,non,oo,non,non,non,non,non,
291.6,294,2.4,1198.43,1198.43,Buah,DL,DL,cov,cov,cov,cov,,,,ST1,,,,r,non,r,non,non,non,DOL,non,non,non,non,non,non,non,non,non,non,non,non,non,non,
294,296.8,2.8,1201.23,1201.23,Buah,DL,DL,f,g,Goo,Shoal,,,,ST1,,,,t,non,r,tkb,cl,10 qtz sand,DOL,10 qtz sand,non,non,non,non,non,non,non,non,non,non,non,non,non,
296.8,298,1.2,1202.43,1202.43,Buah,DL,DL,vf,g,W,Lagoon,,,,ST1,,,,t,non,r,vtb,cl,non,DOL,non,non,non,non,non,non,non,non,non,non,non,non,non,non,
298,299,1,1203.43,1203.43,Buah,DL,DL,f,bo,Bmstm,Intertidal,,,,ST1,,,,t,non,r,non,dmstm,non,DOL,non,non,non,non,non,non,dmstm,non,non,non,non,non,non,non,
299,299.5,0.5,1203.93,1203.93,Buah,DL,DL,vf,bo,BMsstm,Intertidal,,,,ST1,,,,t,non,r,non,Msstm,oo,DOL,non,non,non,non,non,non,non,Msstm,oo,non,non,non,non,non,
299.5,300,0.5,1204.43,1204.43,Buah,DL,DL,vf,g,W,Intertidal,,,,ST1,,,,r,non,r,vtb,cl,non,DOL,non,non,non,non,non,non,non,non,non,non,non,non,non,non,
300,310,10,1214.43,1214.43,Buah,DL,DL,cov,cov,cov,cov,,,,ST1,,,,r,non,r,non,non,non,DOL,non,non,non,non,non,non,non,non,non,non,non,non,non,non,
310,310.6,0.6,1215.03,1215.03,Buah,DL,DL,vf,bo,BMsstm,Intertidal,,,,ST1,,,,t,non,r,non,Msstm,non,DOL,non,non,non,non,non,non,non,Msstm,non,non,non,non,non,non,
310.6,317,6.4,1221.43,1221.43,Buah,DL,DL,cov,cov,cov,cov,,,,ST1,,,,r,non,r,non,non,non,DOL,non,non,non,non,non,non,non,non,non,non,non,non,non,non,
317,317.8,0.8,1222.23,1222.23,Buah,DL,DL,vf,w,W,Intertidal,,,,ST1,,,,t,non,r,non,non,non,DOL,non,non,non,non,non,non,non,non,non,non,non,non,non,non,
317.8,318.2,0.4,1222.63,1222.63,Buah,DL,DL,f,bo,Bil,Supratidal,,,,ST1,,,,r,non,r,non,il,si,DOL,non,non,non,il,non,non,non,non,non,non,non,non,non,non,
318.2,325.5,7.3,1229.93,1229.93,Buah,DL,DL,cov,cov,cov,cov,,,,ST1,,,,r,non,r,non,non,non,DOL,non,non,non,non,non,non,non,non,non,non,non,non,non,non,
325.5,326.5,1,1230.93,1230.93,Buah,DL,DL,vf,bo,Bmstm,Intertidal,,,,ST1,,,,t,non,r,non,dmstm,non,DOL,non,non,non,non,non,non,dmstm,non,non,non,non,non,non,non,
326.5,327.6,1.1,1232.03,1232.03,Buah,DL,DL,cov,cov,cov,cov,,,,ST1,,,,r,non,r,non,non,non,DOL,non,non,non,non,non,non,non,non,non,non,non,non,non,non,
327.6,327.8,0.2,1232.23,1232.23,Buah,DL,DL,vf,w,W,Intertidal,,,,ST1,,,,t,non,r,non,cl,non,DOL,non,non,non,non,non,non,non,non,non,non,non,non,non,non,
327.8,328.3,0.5,1232.73,1232.73,Buah,DL,DL,cov,cov,cov,cov,,,,ST1,,,,r,non,r,non,non,non,DOL,non,non,non,non,non,non,non,non,non,non,non,non,non,non,
328.3,329.2,0.9,1233.63,1233.63,Buah,DL,DL,vf,g,Gmaa,Intertidal,,,,ST1,,,,t,non,r,tb,non,non,DOL,non,non,non,non,non,non,non,non,non,non,non,non,non,non,
329.2,330,0.8,1234.43,1234.43,Buah,DL,DL,cov,cov,cov,cov,,,,ST1,,,,r,non,r,non,non,non,DOL,non,non,non,non,non,non,non,non,non,non,non,non,non,non,
330,331.6,1.6,1236.03,1236.03,Buah,DL,DL,mi,m,W,Intertidal,,,,ST1,,,,t,non,r,tb,fl,non,DOL,non,non,non,non,non,non,non,non,non,non,non,non,non,non,
331.6,333.2,1.6,1237.63,1237.63,Buah,DL,DL,mi,m,W,Intertidal,,,,ST1,,,,t,non,r,tb,fl,non,DOL,non,non,non,non,non,non,non,non,non,non,non,non,non,non,
0,0.6,0.6,1238.23,1238.23,Buah,DL,DL,mi,m,Ml/W,Lgn,,,,SB1,,,,r,r,r,non,ml,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,
0.6,2,1.4,1239.63,1239.63,Buah,DL,DL,cov,cov,cov,cov,,,,SB1,,,,t,r,r,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,
2,2.5,0.5,1240.13,1240.13,Buah,DL,DL,mi,bo,Bilstm,Int,,,,SB1,,,,r,r,r,non,ilstm,non,non,non,non,non,non,ilstm,non,non,non,non,non,non,non,non,non,
2.5,2.8,0.3,1240.43,1240.43,Buah,DL,DL,cov,cov,cov,cov,,,,SB1,,,,t,r,r,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,
