SamID,Bergmann_2025_Age,,Chen_2022_Age,Meter,d13C,d18O,87Sr_86Sr,d13Corg,TOC,d34SCAS,d34Spy,Type,Min,Section,Fm,Mb,CEX,Period,Series,Stage,ConZone,GrapZone,TriZone,SSFZone,ArcZone,OstZone,AmmZone,Country,State,Town,Lat,Long,Ca,Mg,Mg_Ca,Fe,Mn,Sr,Si,Mn_Sr,Source
91-05,,,568.3857149,,-8,21.2,0.708383,,,,,,CA,high-certainty,Alyanchskaya Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,2330,64,25300,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
95-04,,,568.5262915,,-9.3,19.5,0.708063,,,,,,CA,high-certainty,Cnenchinskaya Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,1090,66,1510,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
SM-225-0 3541.3,,,568.5736092,,-2.8,24.8,0.708482,,,,,,CA,medium-certainty,Uspun,,"marine facies, well preserved, poor age constrain",,,,,,,,,,,Russia,,,,,,,,1177,101,129,,,"Chen et al., 2022;Kochnev et al..2018;Kochnev and Karlova. 2010;Kaufman et al.. 2012"
96-04,,,568.7328643,,-9.2,19.7,0.708053,,,,,,CA,high-certainty,Cnenchinskaya Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,1220,91,3590,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
081-03,,,569.1064515,,-8.1,23.5,0.708613,,,,,,CA,low-certainty,Torginskaya Formation,,diagenetic altered,,,,,,,,,,,Russia,,,,,,,,143,26,318,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
084-03,,,569.4677418,,-8.6,23.4,0.708313,,,,,,CA,low-certainty,Torginskaya Formation,,diagenetic altered,,,,,,,,,,,Russia,,,,,,,,117,20,307,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
105-03,,,569.66043,,-9.4,22.9,0.708313,,,,,,CA,low-certainty,Torginskaya Formation,,diagenetic altered,,,,,,,,,,,Russia,,,,,,,,182,26,300,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
085-03,,,569.8531181,,-9.5,22.8,0.708293,,,,,,CA,low-certainty,Torginskaya Formation,,diagenetic altered,,,,,,,,,,,Russia,,,,,,,,105,16,365,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
5-Oct,,,570,,-12.5,18.6,0.70829,,,,,,CA,medium-certainty,Nikol’skoe,,"marine facies, well preserved, well age constrain, unknown method",,,,,,,,,,,Russia,,,,,,,,,,250,,,"Chen et al., 2022;Pokrovskii et al..2006;cox et al..2016"
22/05,,,570,,-13.3,18.5,0.7079,,,,,,CA,medium-certainty,Nikol’skoe,,"marine facies, well preserved, well age constrain, unknown method",,,,,,,,,,,Russia,,,,,,,,,,345,,,"Chen et al., 2022;Pokrovskii et al..2006;cox et al..2016"
25/05,,,570,,-13.5,17.4,0.70801,,,,,,CA,low-certainty,Nikol’skoe,,altered,,,,,,,,,,,Russia,,,,,,,,,,319,,,"Chen et al., 2022;Pokrovskii et al..2006;cox et al..2016"
110/03,,,570,,,,0.70799,,,,,,CA,low-certainty,Torgo,,"marine facies, well preserved, well age constrain, unknown method",,,,,,,,,,,Russia,,,,,,,,,,810,,,"Chen et al., 2022;Pokrovskii et al..2006;cox et al..2016"
116/03,,,570,,-8.8,22.5,0.7081,,,,,,CA,low-certainty,Torgo,,altered,,,,,,,,,,,Russia,,,,,,,,287,47,382,,,"Chen et al., 2022;Pokrovskii et al..2006;cox et al..2016"
99/03,,,570,,-8.9,23.5,0.70832,,,,,,CA,low-certainty,Torgo,,altered,,,,,,,,,,,Russia,,,,,,,,240,30,299,,,"Chen et al., 2022;Pokrovskii et al..2006;cox et al..2016"
89/03,,,570,,,,0.70832,,,,,,CA,low-certainty,Torgo,,"marine facies, well preserved, well age constrain, unknown method",,,,,,,,,,,Russia,,,,,,,,,,812,,,"Chen et al., 2022;Pokrovskii et al..2006;cox et al..2016"
1G/348,,,570,,,,0.71034,,,,,,DL,low-certainty,Torgo 3,,altered,,,,,,,,,,,Russia,,,,,,,,,,29,,,"Chen et al., 2022;Pokrovskii et al..2006;cox et al..2016"
1G/384,,,570,,,,0.70836,,,,,,DL,low-certainty,Torgo 3,,altered,,,,,,,,,,,Russia,,,,,,,,,,17,,,"Chen et al., 2022;Pokrovskii et al..2006;cox et al..2016"
1G/406,,,570,,,,0.71055,,,,,,CA,low-certainty,Torgo 3,,altered,,,,,,,,,,,Russia,,,,,,,,,,281,,,"Chen et al., 2022;Pokrovskii et al..2006;cox et al..2016"
1G/445,,,570,,,,0.7086,,,,,,CA,low-certainty,Torgo 2,,altered,,,,,,,,,,,Russia,,,,,,,,,,381,,,"Chen et al., 2022;Pokrovskii et al..2006;cox et al..2016"
1G/636,,,570,,,,0.70975,,,,,,DL,low-certainty,Alekseev,,altered,,,,,,,,,,,Russia,,,,,,,,,,96,,,"Chen et al., 2022;Pokrovskii et al..2006;cox et al..2016"
1G/672,,,570,,,,0.71432,,,,,,DL,low-certainty,Alekseev,,altered,,,,,,,,,,,Russia,,,,,,,,,,819,,,"Chen et al., 2022;Pokrovskii et al..2006;cox et al..2016"
1G/684,,,570,,,,0.71103,,,,,,DL,low-certainty,Alekseev,,altered,,,,,,,,,,,Russia,,,,,,,,,,96,,,"Chen et al., 2022;Pokrovskii et al..2006;cox et al..2016"
100-04,,,570.2821603,,-9.9,19.4,0.708043,,,,,,CA,high-certainty,Nikol'skaya Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,1500,191,2110,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
98-05,,,570.2857144,,-8.9,21,0.708213,,,,,,CA,high-certainty,Alyanchskaya Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,1700,63,2070,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
089-03,,,570.2866665,,-9,23.8,0.708223,,,,,,CA,low-certainty,Torginskaya Formation,,diagenetic altered,,,,,,,,,,,Russia,,,,,,,,175,32,767,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
100-05,,,570.5,,-9,20.3,0.708213,,,,,,CA,high-certainty,Alyanchskaya Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,1470,57,6140,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
101-05,,,570.6,,-8.6,20.8,0.708203,,,,,,CA,high-certainty,Alyanchskaya Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,1010,35,4360,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
104-05,,,571.0999998,,-9.3,20.5,0.708153,,,,,,CA,high-certainty,Nikol'skaya Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,878,49,769,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
094-03,,,571.1296772,,-10,22.4,0.708243,,,,,,CA,low-certainty,Torginskaya Formation,,diagenetic altered,,,,,,,,,,,Russia,,,,,,,,282,17,253,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
141-04,,,571.3999999,,-8.9,21,0.708393,,,,,,CA,high-certainty,Cnenchinskaya Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,1070,70,2360,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
B-49,,,572.10341,,4,-6.5,0.70965,,,,,,DL,low-certainty,Uluntui Formation，Baikal Group,,altered,,,,,,,,,,,Russia,,,,,,,,790,60,130,,,"Chen et al., 2022;Kuznestov et al., 2013;Kuznestov et al., 2013"
062-03,,,572.8999997,,-9.5,23.5,0.708363,,,,,,CA,low-certainty,Torginskaya Formation,,diagenetic altered,,,,,,,,,,,Russia,,,,,,,,117,15,394,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
063-03,,,572.9722577,,-9.2,23.1,0.708243,,,,,,CA,low-certainty,Torginskaya Formation,,diagenetic altered,,,,,,,,,,,Russia,,,,,,,,91,15,320,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
064-03,,,573.0445158,,-9.1,21.4,0.708223,,,,,,CA,low-certainty,Torginskaya Formation,,diagenetic altered,,,,,,,,,,,Russia,,,,,,,,322,17,429,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
123-05,,,573.5571419,,-9.7,20.9,0.708093,,,,,,CA,high-certainty,Nikol'skaya Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,1640,53,18000,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
114-05,,,574.7571416,,-10.3,20.3,0.708133,,,,,,CA,high-certainty,Nikol'skaya Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,2340,218,2650,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
2730/17,,,575,,,,0.71031,,,,,,DL,low-certainty,Kalancha,,altered,,,,,,,,,,,Russia,,,,,,,,,,52,,,"Chen et al., 2022;Pokrovskii et al..2006;cox et al..2016"
2730/17,,,575,,,,0.71055,,,,,,DL,low-certainty,Kalancha,,altered,,,,,,,,,,,Russia,,,,,,,,,,60,,,"Chen et al., 2022;Pokrovskii et al..2006;cox et al..2016"
40/03,,,575,,3.9,21.9,0.7099,,,,,,DL,low-certainty,Sen,,altered,,,,,,,,,,,Russia,,,,,,,,138,104,47,,,"Chen et al., 2022;Pokrovskii et al..2006;cox et al..2016"
B-43,,,575.1615,,5.2,-7.9,0.70863,,,,,,CA,low-certainty,Uluntui Formation，Baikal Group,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,270,30,2310,,,"Chen et al., 2022;Kuznestov et al., 2013;Kuznestov et al., 2013"
073-03,,,575.6578489,,-9.5,22,0.708323,,,,,,CA,low-certainty,Torginskaya Formation,,diagenetic altered,,,,,,,,,,,Russia,,,,,,,,242,22,309,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
B-42,,,575.74215,,5.6,-6.3,0.7084,,,,,,CA,low-certainty,Uluntui Formation，Baikal Group,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,280,40,3240,,,"Chen et al., 2022;Kuznestov et al., 2013;Kuznestov et al., 2013"
075-03,,,575.8987091,,-9.7,21.8,0.708423,,,,,,CA,low-certainty,Torginskaya Formation,,diagenetic altered,,,,,,,,,,,Russia,,,,,,,,148,29,309,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
B137c,,,576.12925,,2.7,-12.6,0.71182,,,,,,CA,low-certainty,Uluntui Formation，Baikal Group,,altered,,,,,,,,,,,Russia,,,,,,,,1670,90,116,,,"Chen et al., 2022;Kuznestov et al., 2013;Kuznestov et al., 2013"
135-04,573,,576.2668279,,-9.7,21.4,0.708133,,,,,,CA,high-certainty,Cnenchinskaya Formation,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,1250,43,940,,,"Chen et al., 2022;Melezhik et al..2009;cox et al..2016;Melezhik et al..2009"
B-136,,,576.40022,,4,-8.4,0.71298,,,,,,DL,low-certainty,Uluntui Formation，Baikal Group,,altered,,,,,,,,,,,Russia,,,,,,,,525,18,160,,,"Chen et al., 2022;Kuznestov et al., 2013;Kuznestov et al., 2013"
B-134,,,577.52281,,5.3,-6.6,0.70867,,,,,,CA,high-certainty,Uluntui Formation，Baikal Group,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,410,50,2110,,,"Chen et al., 2022;Kuznestov et al., 2013;Kuznestov et al., 2013"
B-39,,,577.90991,,5.6,-5.9,0.70866,,,,,,CA,high-certainty,Uluntui Formation，Baikal Group,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,230,20,2590,,,"Chen et al., 2022;Kuznestov et al., 2013;Kuznestov et al., 2013"
B-35,,,578.6454,,5.7,-6.6,0.70863,,,,,,CA,high-certainty,Uluntui Formation，Baikal Group,,"marine environment, least altered, well age constrian, preleaching, weak acid",,,,,,,,,,,Russia,,,,,,,,650,40,3090,,,"Chen et al., 2022;Kuznestov et al., 2013;Kuznestov et al., 2013"
B-76,,,579.49702,,2.8,-9.7,0.71481,,,,,,DL,low-certainty,Uluntui Formation，Baikal Group,,altered,,,,,,,,,,,Russia,,,,,,,,2990,550,80,,,"Chen et al., 2022;Kuznestov et al., 2013;Kuznestov et al., 2013"
B-72,,,579.69057,,-2.6,-7.2,0.71143,,,,,,DL,low-certainty,Uluntui Formation，Baikal Group,,altered,,,,,,,,,,,Russia,,,,,,,,420,70,53,,,"Chen et al., 2022;Kuznestov et al., 2013;Kuznestov et al., 2013"
B-131,,,579.72928,,2.9,-8.6,0.7118,,,,,,DL,low-certainty,Uluntui Formation，Baikal Group,,altered,,,,,,,,,,,Russia,,,,,,,,260,12,155,,,"Chen et al., 2022;Kuznestov et al., 2013;Kuznestov et al., 2013"
B-29,,,579.8067,,4.3,-6.9,0.70924,,,,,,CA,low-certainty,Uluntui Formation，Baikal Group,,altered,,,,,,,,,,,Russia,,,,,,,,220,20,370,,,"Chen et al., 2022;Kuznestov et al., 2013;Kuznestov et al., 2013"
B-24,,,580.00025,,4,-7.2,0.70951,,,,,,DL,low-certainty,Uluntui Formation，Baikal Group,,altered,,,,,,,,,,,Russia,,,,,,,,180,20,202,,,"Chen et al., 2022;Kuznestov et al., 2013;Kuznestov et al., 2013"
B-67,,,580.00025,,-2.1,-7,0.71092,,,,,,DL,low-certainty,Uluntui Formation，Baikal Group,,altered,,,,,,,,,,,Russia,,,,,,,,290,80,50,,,"Chen et al., 2022;Kuznestov et al., 2013;Kuznestov et al., 2013"
B-20,,,580.11638,,3.9,-7.4,0.70934,,,,,,DL,low-certainty,Uluntui Formation，Baikal Group,,altered,,,,,,,,,,,Russia,,,,,,,,160,20,353,,,"Chen et al., 2022;Kuznestov et al., 2013;Kuznestov et al., 2013"
M-223-0 3897.5,,,581.5492628,,,,0.708312,,,,,,A,medium-certainty,Yuryakh,,"marine facies, well preserved, poor age constrain",,,,,,,,,,,Russia,,,,,,,,,,,,,"Chen et al., 2022;Kochnev et al..2018;Kaufman et al.. 2012;Kochnev et al..2018"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VN-14/1,551,,565,2291,1.9,-5.9,0.708166,,,,,,CA,medium-certainty,Sukhaya Rechka Formation,,"marine facies, well preserved, poor age constrain, dissolve in HCL",,,,,,,,,,,Russia (Siberia),,,,,,,,3660,310,1920,,,"Chen et al., 2022;Kochnev et al., 2019;Kochnev et al., 2019"
VN-14/3,,,565,2193,1.9,-5.9,0.708206,,,,,,CA,medium-certainty,Sukhaya Rechka Formation,,"marine facies, well preserved, poor age constrain, dissolve in HCL",,,,,,,,,,,Russia (Siberia),,,,,,,,4870,375,2135,,,"Chen et al., 2022;Kochnev et al., 2019;Kochnev et al., 2019"
VN-14/5,,,565,2139,1.7,-7.3,0.708236,,,,,,CA,medium-certainty,Sukhaya Rechka Formation,,"marine facies, well preserved, poor age constrain, dissolve in HCL",,,,,,,,,,,Russia (Siberia),,,,,,,,4720,505,1564,,,"Chen et al., 2022;Kochnev et al., 2019;Kochnev et al., 2019"
VN-14/11,,,565,1983,1.6,-5.3,0.708226,,,,,,CA,medium-certainty,Sukhaya Rechka Formation,,"marine facies, well preserved, poor age constrain, dissolve in HCL",,,,,,,,,,,Russia (Siberia),,,,,,,,5950,560,2482,,,"Chen et al., 2022;Kochnev et al., 2019;Kochnev et al., 2019"
VN-14/13,,,565,1905,1.7,-4.8,0.708146,,,,,,CA,medium-certainty,Sukhaya Rechka Formation,,"marine facies, well preserved, poor age constrain, dissolve in HCL",,,,,,,,,,,Russia (Siberia),,,,,,,,1590,330,2656,,,"Chen et al., 2022;Kochnev et al., 2019;Kochnev et al., 2019"
VN-14/15,,,565,1851,1.8,-4.9,0.708156,,,,,,CA,medium-certainty,Sukhaya Rechka Formation,,"marine facies, well preserved, poor age constrain, dissolve in HCL",,,,,,,,,,,Russia (Siberia),,,,,,,,2430,135,2790,,,"Chen et al., 2022;Kochnev et al., 2019;Kochnev et al., 2019"
VN-15/2,,,565,1826,1.7,-4.6,0.708186,,,,,,CA,medium-certainty,Sukhaya Rechka Formation,,"marine facies, well preserved, poor age constrain, dissolve in HCL",,,,,,,,,,,Russia (Siberia),,,,,,,,3360,175,2745,,,"Chen et al., 2022;Kochnev et al., 2019;Kochnev et al., 2019"
VN-15/4,,,565,1752,1.8,-5,0.708186,,,,,,CA,medium-certainty,Sukhaya Rechka Formation,,"marine facies, well preserved, poor age constrain, dissolve in HCL",,,,,,,,,,,Russia (Siberia),,,,,,,,3890,290,2798,,,"Chen et al., 2022;Kochnev et al., 2019;Kochnev et al., 2019"
VN-15/6,,,565,1706,1.5,-5,0.708176,,,,,,CA,medium-certainty,Sukhaya Rechka Formation,,"marine facies, well preserved, poor age constrain, dissolve in HCL",,,,,,,,,,,Russia (Siberia),,,,,,,,3540,190,2717,,,"Chen et al., 2022;Kochnev et al., 2019;Kochnev et al., 2019"
VN-15/10,,,565,1633,1.2,-5.2,0.708246,,,,,,CA,medium-certainty,Sukhaya Rechka Formation,,"marine facies, well preserved, poor age constrain, dissolve in HCL",,,,,,,,,,,Russia (Siberia),,,,,,,,4970,185,2480,,,"Chen et al., 2022;Kochnev et al., 2019;Kochnev et al., 2019"
VN-15/12,,,565,1571,1.4,-4.8,0.708176,,,,,,CA,medium-certainty,Sukhaya Rechka Formation,,"marine facies, well preserved, poor age constrain, dissolve in HCL",,,,,,,,,,,Russia (Siberia),,,,,,,,1250,78,2390,,,"Chen et al., 2022;Kochnev et al., 2019;Kochnev et al., 2019"
VN-15/18,,,565,1423,1.7,-5,0.708206,,,,,,CA,medium-certainty,Sukhaya Rechka Formation,,"marine facies, well preserved, poor age constrain, dissolve in HCL",,,,,,,,,,,Russia (Siberia),,,,,,,,2880,355,2079,,,"Chen et al., 2022;Kochnev et al., 2019;Kochnev et al., 2019"
VN-15/22,,,565,1337,1.7,-4.9,0.708176,,,,,,CA,medium-certainty,Sukhaya Rechka Formation,,"marine facies, well preserved, poor age constrain, dissolve in HCL",,,,,,,,,,,Russia (Siberia),,,,,,,,2370,215,2421,,,"Chen et al., 2022;Kochnev et al., 2019;Kochnev et al., 2019"
VN-15/26,,,565,1247,1.6,-5.1,0.708206,,,,,,CA,medium-certainty,Sukhaya Rechka Formation,,"marine facies, well preserved, poor age constrain, dissolve in HCL",,,,,,,,,,,Russia (Siberia),,,,,,,,2850,130,2476,,,"Chen et al., 2022;Kochnev et al., 2019;Kochnev et al., 2019"
VN-15/30,,,565,1155,2,-4.9,0.708166,,,,,,CA,medium-certainty,Sukhaya Rechka Formation,,"marine facies, well preserved, poor age constrain, dissolve in HCL",,,,,,,,,,,Russia (Siberia),,,,,,,,2100,105,2650,,,"Chen et al., 2022;Kochnev et al., 2019;Kochnev et al., 2019"
VN-15/34,,,565,1039,1.4,-5.1,0.708206,,,,,,CA,medium-certainty,Sukhaya Rechka Formation,,"marine facies, well preserved, poor age constrain, dissolve in HCL",,,,,,,,,,,Russia (Siberia),,,,,,,,4060,175,2859,,,"Chen et al., 2022;Kochnev et al., 2019;Kochnev et al., 2019"
VN-15/39,,,565,910,1.3,-5.3,0.708226,,,,,,CA,medium-certainty,Sukhaya Rechka Formation,,"marine facies, well preserved, poor age constrain, dissolve in HCL",,,,,,,,,,,Russia (Siberia),,,,,,,,3740,255,2676,,,"Chen et al., 2022;Kochnev et al., 2019;Kochnev et al., 2019"
VN-15/43,,,565,800,1.1,-5.4,0.708246,,,,,,CA,medium-certainty,Sukhaya Rechka Formation,,"marine facies, well preserved, poor age constrain, dissolve in HCL",,,,,,,,,,,Russia (Siberia),,,,,,,,5880,280,2284,,,"Chen et al., 2022;Kochnev et al., 2019;Kochnev et al., 2019"
VN-15/46,,,565,726,1.1,-5,0.708226,,,,,,CA,medium-certainty,Sukhaya Rechka Formation,,"marine facies, well preserved, poor age constrain, dissolve in HCL",,,,,,,,,,,Russia (Siberia),,,,,,,,4000,345,2603,,,"Chen et al., 2022;Kochnev et al., 2019;Kochnev et al., 2019"
VN-15/52,,,565,591,1.2,-6.2,0.708246,,,,,,CA,medium-certainty,Sukhaya Rechka Formation,,"marine facies, well preserved, poor age constrain, dissolve in HCL",,,,,,,,,,,Russia (Siberia),,,,,,,,4700,305,2501,,,"Chen et al., 2022;Kochnev et al., 2019;Kochnev et al., 2019"
VN-15/55,,,565,491,1.4,-5.2,0.708236,,,,,,CA,medium-certainty,Sukhaya Rechka Formation,,"marine facies, well preserved, poor age constrain, dissolve in HCL",,,,,,,,,,,Russia (Siberia),,,,,,,,5960,280,2581,,,"Chen et al., 2022;Kochnev et al., 2019;Kochnev et al., 2019"
